Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Trae Young,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Trae Young,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,co_inf with Jacob Gilyard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,26-118,LAC,@,LAL,W (+6),0,24:04,4.0,6.0,.667,3.0,3.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,8.2,-1,3.0,1.0,0.3333333333333333,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,7.0,95.0,3.064516129032258,8.2,74.79999999999998,2.412903225806451
1,2,2,2022-10-22,26-120,LAC,@,SAC,W (+2),0,27:54,4.0,11.0,.364,1.0,4.0,.250,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5.2,+15,7.0,3.0,0.4285714285714285,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,-1.0,89.0,2.870967741935484,4.400000000000001,93.5,3.0161290322580645
2,3,3,2022-10-23,26-121,LAC,,PHO,L (-17),0,17:48,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,-3.7,-4,3.0,1.0,0.3333333333333333,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,-2.0,44.0,1.4193548387096775,-3.7,48.6,1.567741935483871
3,4,4,2022-10-25,26-123,LAC,@,OKC,L (-14),0,28:58,6.0,13.0,.462,3.0,7.0,.429,0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,15.0,10.5,+2,6.0,3.0,0.5,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,8.0,76.0,2.4516129032258065,10.499999999999996,85.69999999999999,2.7645161290322577
4,5,5,2022-10-27,26-125,LAC,@,OKC,L (-8),0,17:03,4.0,5.0,.800,2.0,3.0,.667,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,10.0,5.4,-2,2.0,2.0,1.0,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,3.0,100.0,3.225806451612903,5.399999999999999,86.89999999999999,2.8032258064516125
5,6,6,2022-10-30,26-128,LAC,,NOP,L (-21),0,22:44,3.0,5.0,.600,1.0,3.0,.333,0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,6.5,-15,2.0,2.0,1.0,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,8.0,92.0,2.967741935483871,6.499999999999998,89.5,2.8870967741935485
6,7,7,2022-10-31,26-129,LAC,,HOU,W (+2),1,34:13,3.0,8.0,.375,2.0,6.0,.333,0,0.0,,1.0,9.0,10.0,2.0,0.0,0.0,2.0,3.0,8.0,5.2,+3,2.0,1.0,0.5,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,10.0,27.0,0.8709677419354839,5.199999999999998,58.89999999999999,1.8999999999999997
7,8,8,2022-11-02,26-131,LAC,@,HOU,W (+8),1,23:36,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,1.0,1.0,6.0,6.5,+16,0.0,0.0,,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,9.0,79.0,2.548387096774193,6.5,66.69999999999999,2.1516129032258062
8,9,9,2022-11-04,26-133,LAC,@,SAS,W (+7),1,9:22,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,+12,1.0,1.0,1.0,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,2.0,108.0,3.4838709677419355,1.5999999999999996,89.1,2.8741935483870966
9,10,,2022-11-06,26-135,LAC,,UTA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,,62.0,2.0,0.0,66.39999999999999,2.1419354838709674
10,11,10,2022-11-07,26-136,LAC,,CLE,W (+2),0,12:39,2.0,4.0,.500,2.0,4.0,.500,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,5.6,-3,0.0,0.0,,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,4.0,77.0,2.4838709677419355,5.6000000000000005,75.3,2.429032258064516
11,12,11,2022-11-09,26-138,LAC,,LAL,W (+13),1,24:55,5.0,9.0,.556,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,11.6,+9,3.0,2.0,0.6666666666666666,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,10.0,77.0,2.4838709677419355,11.599999999999996,77.50000000000001,2.5000000000000004
12,13,12,2022-11-12,26-141,LAC,,BRK,L (-15),1,24:15,3.0,5.0,.600,2.0,4.0,.500,1,1.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,9.0,4.8,-16,1.0,1.0,1.0,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,4.0,71.0,2.290322580645161,4.4,80.39999999999998,2.5935483870967735
13,14,13,2022-11-14,26-143,LAC,@,HOU,W (+16),1,27:34,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,8.0,4.6,+7,2.0,1.0,0.5,22,14,34,5,21,18,29,19,8,32,29,31,32,17,34,50.0,22.0,76.0,14.0,34.0,52.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.44,0.6363636363636364,0.4473684210526316,0.3571428571428571,0.6176470588235294,0.3461538461538461,0.4461538461538462,0.5277777777777778,0.3636363636363636,0.4102564102564102,0.4833333333333333,0.5535714285714286,0.4705882352941176,0.3541666666666667,0.419753086419753,0.0,2,2,21,20,18,10,3,20,20,10,14,20,20,5,20,8,56.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,73.0,80.0,15.0,61.0,37.0,0.0357142857142857,0.3,0.3448275862068966,0.2465753424657534,0.1639344262295081,0.0857142857142857,0.3174603174603174,0.2777777777777778,0.2777777777777778,0.5833333333333334,0.2597402597402597,0.0,0.0,0.25,0.3333333333333333,0.3278688524590163,0.2162162162162162,0.0,31,3.0,63.0,2.032258064516129,4.6,42.79999999999999,1.3806451612903223
