Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-033,MEM,,NYK,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,102.0,6.375,0.0,92.4,5.775
1,2,,2022-10-21,20-035,MEM,@,HOU,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,88.0,5.5,0.0,105.8,6.6125
2,3,1,2022-10-22,20-036,MEM,@,DAL,L (-41),0,8:54,0.0,2.0,.000,0.0,0.0,,0,1.0,.000,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,-1.0,-9,2.0,0.0,0.0,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,-1.0,43.0,2.6875,-1.0,48.1,3.00625
3,4,,2022-10-24,20-038,MEM,,BRK,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,84.0,5.25,0.0,108.29999999999998,6.768749999999999
4,5,2,2022-10-27,20-041,MEM,@,SAC,W (+15),0,0:34,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,0.0,103.0,6.4375,0.0,102.5,6.40625
5,6,3,2022-10-29,20-043,MEM,@,UTA,L (-1),0,13:46,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.3,+6,3.0,2.0,0.6666666666666666,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,0.0,100.0,6.25,1.3000000000000005,97.5,6.09375
6,7,4,2022-10-31,20-045,MEM,@,UTA,L (-16),0,12:11,1.0,3.0,.333,0.0,1.0,.000,1,3.0,.333,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,1.5,+2,2.0,1.0,0.5,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,0.0,37.0,2.3125,1.0999999999999992,63.69999999999999,3.9812499999999993
7,8,,2022-11-02,20-047,MEM,@,POR,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,88.0,5.5,0.0,90.1,5.63125
8,9,5,2022-11-04,20-049,MEM,,CHO,W (+31),0,10:21,1.0,5.0,.200,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,3.3,-9,4.0,1.0,0.25,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,4.0,106.0,6.625,3.3,108.5,6.78125
9,10,,2022-11-06,20-051,MEM,,WAS,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,62.0,3.875,0.0,73.3,4.58125
10,11,,2022-11-07,20-052,MEM,,BOS,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,81.0,5.0625,0.0,80.89999999999999,5.0562499999999995
11,12,,2022-11-09,20-054,MEM,@,SAS,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,87.0,5.4375,0.0,99.3,6.20625
12,13,,2022-11-11,20-056,MEM,,MIN,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,35,24,34,23,21,27,31,20,32,20,35,14,31,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.4107142857142857,0.0,0.5,0.4137931034482758,0.4657534246575342,0.3770491803278688,0.0,0.6,0.4285714285714285,0.4305555555555556,0.8333333333333334,0.4155844155844156,0.4761904761904761,0.4375,0.9333333333333332,0.5081967213114754,0.4864864864864865,10,59.0,73.0,0.1694915254237288,0.0,16,,75.0,4.6875,0.0,90.39999999999998,5.649999999999999
