Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-11-20,23-110,WAS,,CHO,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,72.0,4.235294117647059,0.0,81.39999999999998,4.788235294117646
1,2,,2022-11-23,23-113,WAS,@,MIA,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,77.0,4.529411764705882,0.0,78.69999999999999,4.629411764705882
2,3,,2022-11-25,23-115,WAS,@,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,64.0,3.764705882352941,0.0,71.10000000000001,4.182352941176471
3,4,1,2022-11-27,23-117,WAS,@,BOS,L (-9),0,17:53,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,3.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,2.2,+13,1.0,0.0,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,5.0,85.0,5.0,2.199999999999999,96.1,5.652941176470588
4,5,2,2022-11-28,23-118,WAS,,MIN,W (+15),0,3:06,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-11,1.0,0.0,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,-1.0,63.0,3.7058823529411766,-0.7,79.4,4.670588235294118
5,6,,2022-11-30,23-120,WAS,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,56.0,3.294117647058824,0.0,60.80000000000001,3.5764705882352947
6,7,,2022-12-02,23-122,WAS,@,CHO,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,66.0,3.882352941176471,0.0,79.0,4.647058823529412
7,8,,2022-12-04,23-124,WAS,,LAL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,88.0,5.176470588235294,0.0,99.9,5.876470588235295
8,9,,2022-12-07,23-127,WAS,@,CHI,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,36.0,2.117647058823529,0.0,45.29999999999999,2.6647058823529406
9,10,,2022-12-09,23-129,WAS,@,IND,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,78.0,4.588235294117647,0.0,74.89999999999999,4.405882352941176
