Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Dejounte Murray,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-030,ATL,,HOU,W (+10),1,38:14,8.0,19.0,.421,1.0,5.0,.200,3,3.0,1.000,0.0,5.0,5.0,11.0,5.0,1.0,0.0,0.0,20.0,24.8,+8,14.0,7.0,0.5,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,20.0,103.0,5.15,23.600000000000005,115.20000000000002,5.760000000000001
1,2,2,2022-10-21,26-032,ATL,,ORL,W (+10),1,39:37,8.0,16.0,.500,2.0,5.0,.400,2,2.0,1.000,1.0,8.0,9.0,9.0,4.0,0.0,7.0,2.0,20.0,17.6,+17,11.0,6.0,0.5454545454545454,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,17.0,88.0,4.4,16.799999999999994,96.10000000000002,4.8050000000000015
2,3,3,2022-10-23,26-034,ATL,,CHO,L (-17),1,38:48,7.0,15.0,.467,2.0,4.0,.500,3,3.0,1.000,1.0,7.0,8.0,5.0,1.0,1.0,4.0,2.0,19.0,14.5,-11,11.0,5.0,0.4545454545454545,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,12.0,70.0,3.5,13.3,90.7,4.535
3,4,4,2022-10-26,26-037,ATL,@,DET,W (+5),1,39:19,5.0,18.0,.278,2.0,6.0,.333,2,4.0,.500,2.0,6.0,8.0,8.0,2.0,2.0,2.0,2.0,14.0,12.0,+4,12.0,3.0,0.25,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,10.0,76.0,3.8,11.199999999999996,92.3,4.615
4,5,5,2022-10-28,26-039,ATL,@,DET,W (+24),1,32:23,12.0,21.0,.571,2.0,6.0,.333,0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,26.0,20.8,+21,15.0,10.0,0.6666666666666666,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,14.0,110.0,5.5,20.8,133.39999999999998,6.669999999999999
5,6,6,2022-10-29,26-040,ATL,@,MIL,L (-8),1,34:16,9.0,19.0,.474,3.0,5.0,.600,0,0.0,,0.0,5.0,5.0,6.0,2.0,0.0,1.0,3.0,21.0,16.8,+1,14.0,6.0,0.4285714285714285,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,14.0,56.0,2.8,16.8,72.3,3.6149999999999998
6,7,7,2022-10-31,26-042,ATL,@,TOR,L (-30),1,30:31,7.0,15.0,.467,2.0,4.0,.500,4,4.0,1.000,0.0,4.0,4.0,9.0,0.0,0.0,4.0,3.0,20.0,14.6,-12,11.0,5.0,0.4545454545454545,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,10.0,57.0,2.85,13.0,73.6,3.6799999999999997
7,8,8,2022-11-02,26-044,ATL,@,NYK,W (+13),1,38:06,14.0,27.0,.519,5.0,12.0,.417,3,3.0,1.000,0.0,4.0,4.0,9.0,5.0,1.0,3.0,1.0,36.0,32.5,+26,15.0,9.0,0.6,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,22.0,82.0,4.1,31.300000000000004,96.5,4.825
8,9,9,2022-11-05,26-047,ATL,,NOP,W (+3),1,41:47,9.0,23.0,.391,1.0,8.0,.125,3,4.0,.750,2.0,8.0,10.0,11.0,3.0,0.0,2.0,3.0,22.0,20.4,+21,15.0,8.0,0.5333333333333333,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,17.0,84.0,4.2,19.2,105.4,5.2700000000000005
9,10,10,2022-11-07,26-049,ATL,,MIL,W (+19),1,32:03,11.0,24.0,.458,3.0,9.0,.333,0,0.0,,2.0,6.0,8.0,11.0,3.0,0.0,3.0,1.0,25.0,23.1,+4,15.0,8.0,0.5333333333333333,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,20.0,83.0,4.15,23.1,100.4,5.0200000000000005
