Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Bogdan Bogdanović,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,30-062,ATL,,HOU,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,103.0,5.15,0.0,115.2,5.76
1,2,,2022-10-21,30-064,ATL,,ORL,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,88.0,4.4,0.0,96.10000000000002,4.8050000000000015
2,3,,2022-10-23,30-066,ATL,,CHO,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,70.0,3.5,0.0,90.70000000000002,4.535000000000001
3,4,,2022-10-26,30-069,ATL,@,DET,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,76.0,3.8,0.0,92.3,4.615
4,5,,2022-10-28,30-071,ATL,@,DET,W (+24),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,110.0,5.5,0.0,133.39999999999998,6.669999999999999
5,6,,2022-10-29,30-072,ATL,@,MIL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,56.0,2.8,0.0,72.30000000000001,3.6150000000000007
6,7,,2022-10-31,30-074,ATL,@,TOR,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,57.0,2.85,0.0,73.60000000000001,3.6800000000000006
7,8,,2022-11-02,30-076,ATL,@,NYK,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,82.0,4.1,0.0,96.5,4.825
8,9,,2022-11-05,30-079,ATL,,NOP,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,84.0,4.2,0.0,105.4,5.2700000000000005
9,10,,2022-11-07,30-081,ATL,,MIL,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,37,48,42,41,48,2,20,44,6,45,17,53,48,12,6,17,63.0,72.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.5873015873015873,0.6666666666666666,0.6461538461538462,0.6119402985074627,0.6486486486486487,,1.0,0.5555555555555556,0.6285714285714286,0.6,0.6338028169014085,0.3695652173913043,0.6625,0.6575342465753424,0.5217391304347826,0.375,0.5862068965517241,54,22,7,8,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,83.0,4.15,0.0,100.4,5.0200000000000005
