Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Clint Capela,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
0,1.0,1.0,2022-10-19,28-154,ATL,,HOU,W (+10),1.0,26.05,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,2.0,1.0,2.0,2.0,3.1,-1.0,3.0,1.0,0.3333333333333333,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,8.0,103.0,5.15,3.1000000000000005,115.2,5.76,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+10),W (+10)
1,2.0,2.0,2022-10-21,28-156,ATL,,ORL,W (+10),1.0,31.616666666666667,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,0.0,2.0,1.0,0.0,1.0,8.0,9.8,6.0,6.0,4.0,0.6666666666666666,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,12.0,88.0,4.4,9.8,96.10000000000002,4.8050000000000015,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+10),W (+10)
2,3.0,3.0,2022-10-23,28-158,ATL,,CHO,L (-17),1.0,22.95,6.0,8.0,0.75,0.0,0.0,,2.0,2.0,1.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,4.0,14.0,15.6,-19.0,8.0,6.0,0.75,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,16.0,70.0,3.5,14.799999999999995,90.7,4.535,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-17),L (-17)
3,4.0,4.0,2022-10-26,28-161,ATL,@,DET,W (+5),1.0,26.433333333333334,3.0,8.0,0.375,0.0,0.0,,0.0,0.0,,5.0,5.0,10.0,2.0,1.0,4.0,1.0,0.0,6.0,10.8,22.0,8.0,3.0,0.375,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,14.0,76.0,3.8,10.8,92.29999999999998,4.614999999999999,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+5),W (+5)
4,5.0,5.0,2022-10-28,28-163,ATL,@,DET,W (+24),1.0,23.433333333333334,2.0,6.0,0.333,0.0,0.0,,1.0,3.0,0.333,3.0,8.0,11.0,1.0,0.0,2.0,1.0,2.0,5.0,5.6,14.0,6.0,2.0,0.3333333333333333,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,9.0,110.0,5.5,5.199999999999999,133.4,6.67,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+24),W (+24)
5,6.0,6.0,2022-10-29,28-164,ATL,@,MIL,L (-8),1.0,28.78333333333333,5.0,8.0,0.625,0.0,0.0,,1.0,2.0,0.5,5.0,5.0,10.0,1.0,2.0,1.0,2.0,1.0,11.0,13.0,-14.0,8.0,5.0,0.625,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,13.0,56.0,2.8,12.599999999999998,72.30000000000001,3.6150000000000007,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-8),L (-8)
6,7.0,7.0,2022-10-31,28-166,ATL,@,TOR,L (-30),1.0,25.416666666666668,6.0,7.0,0.857,0.0,0.0,,1.0,4.0,0.25,2.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,13.0,10.5,-24.0,7.0,6.0,0.8571428571428571,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,7.0,57.0,2.85,10.1,73.60000000000001,3.6800000000000006,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-30),L (-30)
7,8.0,8.0,2022-11-02,28-168,ATL,@,NYK,W (+13),1.0,25.183333333333334,3.0,8.0,0.375,0.0,0.0,,2.0,2.0,1.0,4.0,6.0,10.0,1.0,1.0,0.0,0.0,1.0,8.0,9.5,15.0,8.0,3.0,0.375,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,10.0,82.0,4.1,8.7,96.5,4.825,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+13),W (+13)
8,9.0,9.0,2022-11-05,28-171,ATL,,NOP,W (+3),1.0,35.0,10.0,15.0,0.667,0.0,0.0,,1.0,2.0,0.5,5.0,14.0,19.0,1.0,1.0,4.0,1.0,3.0,21.0,24.1,8.0,15.0,10.0,0.6666666666666666,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,28.0,84.0,4.2,23.700000000000003,105.4,5.2700000000000005,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+3),W (+3)
9,10.0,10.0,2022-11-07,28-173,ATL,,MIL,W (+19),1.0,22.15,2.0,7.0,0.286,0.0,0.0,,1.0,1.0,1.0,3.0,9.0,12.0,0.0,1.0,1.0,1.0,3.0,5.0,5.2,1.0,7.0,2.0,0.2857142857142857,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,10.0,83.0,4.15,4.799999999999999,100.4,5.0200000000000005,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+19),W (+19)
