Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,22-190,TOR,,CLE,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,65.0,3.823529411764706,0.0,85.0,5.0
1,2,,2022-10-21,22-192,TOR,@,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,76.0,4.470588235294118,0.0,94.79999999999998,5.576470588235293
2,3,,2022-10-22,22-193,TOR,@,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,79.0,4.647058823529412,0.0,93.8,5.517647058823529
3,4,,2022-10-24,22-195,TOR,@,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,85.0,5.0,0.0,83.4,4.905882352941177
4,5,,2022-10-26,22-197,TOR,,PHI,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,116.0,6.823529411764706,0.0,117.40000000000002,6.905882352941178
5,6,,2022-10-28,22-199,TOR,,PHI,L (-22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,72.0,4.235294117647059,0.0,76.99999999999999,4.529411764705881
6,7,1,2022-10-31,22-202,TOR,,ATL,W (+30),0,3:09,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1,0.0,0.0,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,-1.0,112.0,6.588235294117647,-0.7,124.99999999999996,7.352941176470586
7,8,,2022-11-02,22-204,TOR,@,SAS,W (+43),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,123.0,7.235294117647059,0.0,124.0,7.294117647058823
8,9,,2022-11-04,22-206,TOR,@,DAL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,64.0,3.764705882352941,0.0,73.10000000000002,4.300000000000002
9,10,,2022-11-06,22-208,TOR,,CHI,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,9,9,6,5,6,7,1,4,1,2,9,7,7,8,8,3,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,77.0,54.0,0.1184210526315789,0.1551724137931034,0.1935483870967742,0.072463768115942,0.0909090909090909,0.28,0.1111111111111111,0.0952380952380952,0.2,0.1,0.1698113207547169,0.1044776119402985,0.0,0.0985915492957746,0.1454545454545454,0.1038961038961039,0.0555555555555555,5,72.0,69.0,0.0694444444444444,0.0,17,,92.0,5.411764705882353,0.0,103.1,6.064705882352941
