Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,34-120,TOR,,CLE,W (+3),0,10:47,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.3,-14,1.0,0.0,0.0,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,1.0,64.0,3.555555555555556,2.3000000000000007,82.7,4.594444444444445
1,2,2,2022-10-21,34-122,TOR,@,BRK,L (-4),0,5:59,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,+4,0.0,0.0,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,1.0,75.0,4.166666666666667,0.3,94.5,5.25
2,3,3,2022-10-22,34-123,TOR,@,MIA,L (-3),0,10:35,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,4.0,3.1,-15,2.0,2.0,1.0,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,4.0,75.0,4.166666666666667,3.1,90.7,5.038888888888889
3,4,,2022-10-24,34-125,TOR,@,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,,85.0,4.722222222222222,0.0,83.4,4.633333333333334
4,5,,2022-10-26,34-127,TOR,,PHI,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,,116.0,6.444444444444445,0.0,117.40000000000002,6.522222222222223
5,6,4,2022-10-28,34-129,TOR,,PHI,L (-22),0,4:55,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-3,0.0,0.0,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,1.0,71.0,3.9444444444444446,-0.0999999999999999,77.09999999999998,4.283333333333332
6,7,,2022-10-31,34-132,TOR,,ATL,W (+30),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,,111.0,6.166666666666667,0.0,124.29999999999998,6.905555555555555
7,8,5,2022-11-02,34-134,TOR,@,SAS,W (+43),0,8:08,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,7.0,+5,4.0,2.0,0.5,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,5.0,118.0,6.555555555555555,6.600000000000001,123.5,6.861111111111111
8,9,6,2022-11-04,34-136,TOR,@,DAL,L (-1),0,3:50,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.1,0,1.0,1.0,1.0,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,0.0,64.0,3.555555555555556,-0.1,79.50000000000001,4.416666666666668
9,10,7,2022-11-06,34-138,TOR,,CHI,W (+9),0,15:33,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,4.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0,4.0,7.7,+25,4.0,2.0,0.5,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,10.0,82.0,4.555555555555555,7.699999999999999,101.3,5.627777777777777
10,11,8,2022-11-07,34-139,TOR,@,CHI,L (-14),0,10:24,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.7,-5,0.0,0.0,,48,38,23,45,45,15,7,32,2,16,34,41,8,44,31,3,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,0.631578947368421,0.6551724137931034,0.7419354838709677,0.6521739130434783,0.6818181818181818,0.6,0.7777777777777778,0.7619047619047619,0.4,0.8,0.6415094339622641,0.6119402985074627,1.0,0.6197183098591549,0.5636363636363636,0.3333333333333333,0.6753246753246753,11,72.0,69.0,0.1527777777777778,0.0,18,2.0,69.0,3.8333333333333335,0.6999999999999997,74.4,4.133333333333334
