Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,25-162,TOR,,CLE,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,65.0,3.611111111111111,0.0,85.0,4.722222222222222
1,2,,2022-10-21,25-164,TOR,@,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,76.0,4.222222222222222,0.0,94.79999999999998,5.266666666666666
2,3,,2022-10-22,25-165,TOR,@,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,79.0,4.388888888888889,0.0,93.8,5.211111111111111
3,4,,2022-10-24,25-167,TOR,@,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,85.0,4.722222222222222,0.0,83.4,4.633333333333334
4,5,,2022-10-26,25-169,TOR,,PHI,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,116.0,6.444444444444445,0.0,117.40000000000002,6.522222222222223
5,6,,2022-10-28,25-171,TOR,,PHI,L (-22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,72.0,4.0,0.0,76.99999999999999,4.277777777777777
6,7,1,2022-10-31,25-174,TOR,,ATL,W (+30),0,5:22,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.4,+1,2.0,2.0,1.0,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,4.0,107.0,5.944444444444445,4.4,119.89999999999998,6.66111111111111
7,8,2,2022-11-02,25-176,TOR,@,SAS,W (+43),0,3:00,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,2.0,0.0,0.0,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,-1.0,124.0,6.888888888888889,-0.7,130.79999999999998,7.266666666666666
8,9,,2022-11-04,25-178,TOR,@,DAL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,64.0,3.555555555555556,0.0,79.40000000000002,4.411111111111112
9,10,,2022-11-06,25-180,TOR,,CHI,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,20,10,16,15,3,13,2,9,20,22,2,21,14,7,21,15,76.0,58.0,31.0,69.0,66.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3157894736842105,0.3448275862068966,0.3225806451612903,0.2318840579710145,0.2272727272727272,0.3333333333333333,0.3095238095238095,0.4,0.45,0.3773584905660377,0.3283582089552239,0.25,0.2957746478873239,0.2545454545454545,0.7777777777777778,0.2727272727272727,0.2777777777777778,11,72.0,69.0,0.1527777777777778,0.0,18,,92.0,5.111111111111111,0.0,109.0,6.055555555555555
