Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,29-133,PHI,@,BOS,L (-9),0,16:12,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4,-5,1.0,0.0,0.0,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,0.0,78.0,4.588235294117647,0.0,87.7,5.158823529411765
1,2,2,2022-10-20,29-135,PHI,,MIL,L (-2),0,21:16,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,3.3,+3,2.0,2.0,1.0,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,4.0,77.0,4.529411764705882,3.3,68.8,4.047058823529412
2,3,3,2022-10-22,29-137,PHI,,SAS,L (-9),0,16:46,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.4,-8,1.0,1.0,1.0,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,2.0,86.0,5.0588235294117645,1.4000000000000004,85.19999999999999,5.011764705882352
3,4,4,2022-10-24,29-139,PHI,,IND,W (+14),0,20:00,2.0,4.0,.500,1.0,3.0,.333,1,2.0,.500,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,5.2,+15,1.0,1.0,1.0,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,4.0,95.0,5.588235294117647,4.8,106.59999999999998,6.270588235294117
4,5,5,2022-10-26,29-141,PHI,@,TOR,L (-10),0,14:43,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9,-10,1.0,0.0,0.0,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,0.0,76.0,4.470588235294118,0.9000000000000002,87.7,5.158823529411765
5,6,6,2022-10-28,29-143,PHI,@,TOR,W (+22),0,10:30,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.5,+3,0.0,0.0,,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,0.0,101.0,5.941176470588236,-1.5,95.19999999999996,5.599999999999998
6,7,7,2022-10-29,29-144,PHI,@,CHI,W (+5),0,9:42,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.3,-2,0.0,0.0,,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,1.0,89.0,5.235294117647059,1.3000000000000005,91.7,5.394117647058824
7,8,8,2022-10-31,29-146,PHI,@,WAS,W (+7),0,15:19,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.3,+10,0.0,0.0,,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,3.0,90.0,5.294117647058823,2.5,106.1,6.241176470588235
8,9,9,2022-11-02,29-148,PHI,,WAS,L (-10),0,23:36,3.0,10.0,.300,2.0,5.0,.400,4,5.0,.800,1.0,5.0,6.0,2.0,1.0,0.0,0.0,4.0,12.0,8.8,-10,5.0,1.0,0.2,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,6.0,74.0,4.352941176470588,7.1999999999999975,76.80000000000001,4.51764705882353
9,10,,2022-11-04,29-150,PHI,,NYK,L (-2),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,52,30,53,12,36,43,2,31,40,49,51,2,50,49,37,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.6753246753246753,0.8108108108108109,0.6794871794871795,0.75,0.6206896551724138,0.6515151515151515,0.1176470588235294,0.0,0.0,0.4366197183098591,0.0,0.7017543859649122,0.6533333333333333,0.7391304347826086,0.08,0.6578947368421053,0.6621621621621622,0.6166666666666667,15,6,38.0,79.0,80.0,0.1875,0.1578947368421052,0.0,17,,71.0,4.176470588235294,0.0,75.0,4.411764705882353
