Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,37-166,PHI,BOS,1,33.016666666666666,3.0,5.0,.600,0.0,2.0,.000,0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,6.0,3.6,-6,3.0,3.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,4.0,74.0,3.8947368421052633,3.5999999999999988,84.10000000000001,4.426315789473684,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-9),L (-9)
2.0,2.0,2022-10-20,37-168,PHI,MIL,1,39.18333333333333,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,4.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,5.0,7.2,-4,1.0,0.0,0.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,8.0,73.0,3.842105263157895,6.399999999999999,65.69999999999999,3.4578947368421047,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-2),L (-2)
3.0,3.0,2022-10-22,37-170,PHI,SAS,1,28.6,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,3.5,+4,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,6.0,82.0,4.315789473684211,3.5,83.1,4.373684210526315,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-9),L (-9)
4.0,4.0,2022-10-24,37-172,PHI,IND,1,20.45,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,3.9,-7,0.0,0.0,,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,6.0,93.0,4.894736842105263,3.9,107.49999999999996,5.657894736842103,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,W (+14),W (+14)
5.0,5.0,2022-10-26,37-174,PHI,TOR,1,31.45,3.0,10.0,.300,2.0,5.0,.400,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,2.4,+1,5.0,1.0,0.2,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,1.0,75.0,3.947368421052632,2.399999999999999,86.2,4.536842105263158,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-10),L (-10)
6.0,6.0,2022-10-28,37-176,PHI,TOR,1,22.55,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,0.0,4.0,5.0,6.1,+15,2.0,1.0,0.5,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,9.0,92.0,4.842105263157895,6.1,87.59999999999998,4.610526315789473,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,W (+22),W (+22)
7.0,7.0,2022-10-29,37-177,PHI,CHI,1,22.58333333333333,3.0,3.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,6.0,6.0,0.0,0.0,2.0,4.0,4.0,8.0,4.7,+1,1.0,1.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,9.0,81.0,4.2631578947368425,4.700000000000001,88.3,4.647368421052631,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,W (+5),W (+5)
8.0,8.0,2022-10-31,37-179,PHI,WAS,1,31.98333333333333,6.0,8.0,.750,1.0,3.0,.333,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,1.0,3.0,13.0,11.6,-5,5.0,5.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,11.0,82.0,4.315789473684211,11.599999999999998,97.0,5.105263157894737,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,W (+7),W (+7)
9.0,9.0,2022-11-02,37-181,PHI,WAS,1,28.1,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,-4,1.0,1.0,1.0,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,5.0,75.0,3.947368421052632,3.4000000000000004,80.6,4.242105263157894,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-10),L (-10)
10.0,10.0,2022-11-04,37-183,PHI,NYK,1,24.85,1.0,5.0,.200,0.0,3.0,.000,1,2.0,.500,2.0,3.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,1.7,+5,2.0,1.0,0.5,49,72,32,72,12,55,62,2,1,2,47,53,62,2,69,70,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,69.0,25.0,76.0,74.0,60.0,0.875,0.935064935064935,0.8648648648648649,0.9230769230769232,0.75,0.9482758620689656,0.9393939393939394,0.1176470588235294,1.0,1.0,0.6619718309859155,0.0,0.9298245614035088,0.8985507246376812,0.08,0.9078947368421052,0.945945945945946,0.9333333333333332,17,6,38.0,79.0,80.0,0.2125,0.1578947368421052,0.0,19,3.0,68.0,3.5789473684210527,1.2999999999999998,73.7,3.878947368421053,5.7,2.5,-3.0,-3.2,0.2,0.0281541066892464,0.566,0.622,0.102,-0.5,0.9,L (-2),L (-2)
