Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-112,OKC,@,MIN,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,55.0,3.235294117647059,0.0,62.69999999999998,3.688235294117646
1,2,,2022-10-22,20-115,OKC,@,DEN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,54.0,3.176470588235294,0.0,64.09999999999998,3.7705882352941167
2,3,1,2022-10-23,20-116,OKC,,MIN,L (-10),0,7:37,2.0,4.0,.500,0.0,0.0,,0,1.0,.000,3.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,5.2,+13,4.0,2.0,0.5,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,7.0,31.0,1.8235294117647056,5.199999999999999,49.2,2.894117647058824
3,4,,2022-10-25,20-118,OKC,,LAC,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,53.0,3.117647058823529,0.0,68.2,4.011764705882353
4,5,,2022-10-27,20-120,OKC,,LAC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,69.0,4.0588235294117645,0.0,82.7,4.864705882352942
5,6,,2022-10-29,20-122,OKC,@,DAL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,64.0,3.764705882352941,0.0,75.7,4.452941176470588
6,7,,2022-11-01,20-125,OKC,,ORL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,74.0,4.352941176470588,0.0,90.9,5.347058823529412
7,8,,2022-11-03,20-127,OKC,,DEN,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,56.0,3.294117647058824,0.0,77.8,4.576470588235294
8,9,2,2022-11-05,20-129,OKC,@,MIL,L (-14),0,5:08,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,+5,2.0,1.0,0.5,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,1.0,45.0,2.647058823529412,2.0,51.8,3.0470588235294116
9,10,,2022-11-07,20-131,OKC,@,DET,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,9,13,9,47,46,22,48,28,30,42,20,25,37,36,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6428571428571429,0.2647058823529412,,0.3023255813953488,0.225,0.6438356164383562,0.6133333333333333,0.0,0.5116279069767442,0.631578947368421,0.5283018867924528,0.7317073170731707,0.5675675675675675,0.3174603174603174,0.6410256410256411,0.5441176470588235,0.5373134328358209,17,3,,57.0,9.0,,0.2982456140350877,0.3333333333333333,17,,47.0,2.764705882352941,0.0,58.2,3.423529411764706
