Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,31-310,LAC,@,LAL,W (+6),0,14:29,0.0,3.0,.000,0.0,2.0,.000,2,2.0,1.000,0.0,4.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,3.1,-3,1.0,0.0,0.0,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,5.0,79.0,4.157894736842105,2.3000000000000007,79.69999999999999,4.194736842105263
1,2,2,2022-10-22,31-312,LAC,@,SAC,W (+2),0,22:04,2.0,3.0,.667,0.0,1.0,.000,4,4.0,1.000,0.0,7.0,7.0,2.0,2.0,0.0,1.0,2.0,8.0,10.4,-3,2.0,2.0,1.0,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,11.0,67.0,3.526315789473684,8.8,77.1,4.057894736842105
2,3,3,2022-10-23,31-313,LAC,,PHO,L (-17),0,14:15,1.0,5.0,.200,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.7,-5,1.0,0.0,0.0,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,2.0,48.0,2.526315789473684,0.7,59.99999999999999,3.157894736842105
3,4,4,2022-10-25,31-315,LAC,@,OKC,L (-14),0,20:53,4.0,6.0,.667,2.0,4.0,.500,0,0.0,,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,10.0,10.5,-2,2.0,2.0,1.0,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,13.0,60.0,3.1578947368421053,10.499999999999998,60.7,3.194736842105263
4,5,5,2022-10-27,31-317,LAC,@,OKC,L (-8),0,15:00,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,2.1,+6,0.0,0.0,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,5.0,48.0,2.526315789473684,2.1,59.900000000000006,3.1526315789473687
5,6,,2022-10-30,31-320,LAC,,NOP,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,,83.0,4.368421052631579,0.0,93.8,4.936842105263158
6,7,,2022-10-31,31-321,LAC,,HOU,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,,86.0,4.526315789473684,0.0,82.89999999999999,4.363157894736841
7,8,,2022-11-02,31-323,LAC,@,HOU,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,,87.0,4.578947368421052,0.0,93.8,4.936842105263158
8,9,,2022-11-04,31-325,LAC,@,SAS,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,,103.0,5.421052631578948,0.0,105.89999999999998,5.573684210526315
9,10,6,2022-11-06,31-327,LAC,,UTA,L (-8),0,6:25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.1,-10,0.0,0.0,,33,15,45,13,18,28,17,34,21,15,44,36,28,32,47,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,81.0,4.0,0.66,0.6818181818181818,0.5921052631578947,0.9285714285714286,0.5294117647058824,0.5384615384615384,0.288135593220339,0.5230769230769231,0.5833333333333334,0.6818181818181818,0.5641025641025641,0.6,0.5,0.4705882352941176,0.5802469135802469,0.0,12,9,11,10,56.0,69.0,46.0,79.0,73.0,0.1518987341772152,0.1607142857142857,0.1594202898550724,0.0,0.136986301369863,19,1.0,86.0,4.526315789473684,-0.1,97.4,5.126315789473685
