Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-217,IND,,WAS,L (-7),1,22:03,6.0,14.0,.429,1.0,6.0,.167,3,5.0,.600,1.0,7.0,8.0,1.0,0.0,1.0,0.0,2.0,16.0,11.2,0,8.0,5.0,0.625,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,7.0,56.0,3.111111111111111,9.999999999999998,54.4,3.022222222222222
1,2,2,2022-10-21,22-219,IND,,SAS,L (-3),1,6:47,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.5,-11,2.0,1.0,0.5,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,0.0,112.0,6.222222222222222,-0.4999999999999996,100.2,5.566666666666666
2,3,3,2022-10-22,22-220,IND,,DET,W (+9),1,27:31,9.0,16.0,.563,1.0,5.0,.200,0,1.0,.000,3.0,12.0,15.0,1.0,0.0,3.0,1.0,2.0,19.0,17.7,-1,11.0,8.0,0.7272727272727273,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,20.0,80.0,4.444444444444445,17.700000000000003,78.70000000000002,4.372222222222224
3,4,4,2022-10-24,22-222,IND,@,PHI,L (-14),1,25:22,6.0,12.0,.500,2.0,5.0,.400,3,4.0,.750,4.0,6.0,10.0,1.0,1.0,1.0,1.0,2.0,17.0,15.8,-5,7.0,4.0,0.5714285714285714,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,13.0,70.0,3.888888888888889,14.599999999999998,56.9,3.161111111111111
4,5,5,2022-10-26,22-224,IND,@,CHI,L (-15),1,29:09,6.0,10.0,.600,3.0,5.0,.600,0,0.0,,2.0,7.0,9.0,2.0,0.0,2.0,2.0,2.0,15.0,13.9,+5,5.0,3.0,0.6,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,16.0,74.0,4.111111111111111,13.899999999999997,72.10000000000001,4.005555555555556
5,6,6,2022-10-28,22-226,IND,@,WAS,W (+10),1,31:05,4.0,6.0,.667,0.0,0.0,,7,8.0,.875,0.0,7.0,7.0,0.0,0.0,0.0,1.0,2.0,15.0,12.3,+14,6.0,4.0,0.6666666666666666,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,7.0,73.0,4.055555555555555,9.500000000000004,85.8,4.766666666666667
6,7,7,2022-10-29,22-227,IND,@,BRK,W (+9),1,33:41,3.0,14.0,.214,1.0,4.0,.250,1,2.0,.500,7.0,7.0,14.0,1.0,0.0,0.0,2.0,3.0,8.0,3.5,+8,10.0,2.0,0.2,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,5.0,104.0,5.777777777777778,3.1,100.79999999999998,5.599999999999999
7,8,8,2022-10-31,22-229,IND,@,BRK,L (-7),1,26:03,1.0,4.0,.250,0.0,2.0,.000,1,2.0,.500,0.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,0.2,-5,2.0,1.0,0.5,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,2.0,58.0,3.2222222222222223,-0.1999999999999997,64.1,3.561111111111111
8,9,9,2022-11-04,22-233,IND,,MIA,W (+2),1,11:25,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,-4.2,-14,1.0,0.0,0.0,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,-3.0,83.0,4.611111111111111,-4.199999999999999,78.9,4.383333333333334
9,10,10,2022-11-07,22-236,IND,,NOP,W (+7),1,29:19,6.0,11.0,.545,3.0,7.0,.429,0,0.0,,3.0,8.0,11.0,1.0,0.0,1.0,1.0,3.0,15.0,13.4,+14,4.0,3.0,0.75,60,62,64,66,37,2,18,52,17,5,51,55,63,24,5,48,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.821917808219178,0.8266666666666667,0.8205128205128205,0.825,0.8043478260869565,0.2857142857142857,0.0,0.4736842105263157,0.8253968253968254,0.9444444444444444,0.8333333333333334,0.8225806451612904,0.8461538461538461,0.84,0.7741935483870968,0.7142857142857143,0.8571428571428571,11,20,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3225806451612903,0.0,18,16.0,90.0,5.0,13.4,92.79999999999998,5.155555555555555
