Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,25-128,IND,,WAS,L (-7),1,19:25,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,3.6,-13,1.0,0.0,0.0,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,1.0,62.0,3.647058823529412,2.8000000000000007,61.6,3.623529411764706
1,2,2,2022-10-21,25-130,IND,,SAS,L (-3),1,16:37,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.6,-6,5.0,2.0,0.4,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,1.0,111.0,6.529411764705882,1.600000000000001,98.1,5.770588235294118
2,3,3,2022-10-22,25-131,IND,,DET,W (+9),0,21:15,3.0,14.0,.214,1.0,7.0,.143,2,2.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,9.0,0.9,+13,7.0,2.0,0.2857142857142857,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,-3.0,103.0,6.0588235294117645,0.0999999999999996,96.3,5.664705882352941
3,4,4,2022-10-24,25-133,IND,@,PHI,L (-14),0,16:21,4.0,9.0,.444,1.0,3.0,.333,0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,4.9,-7,6.0,3.0,0.5,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,3.0,80.0,4.705882352941177,4.9,66.6,3.9176470588235293
4,5,5,2022-10-26,25-135,IND,@,CHI,L (-15),0,25:46,4.0,11.0,.364,2.0,6.0,.333,2,2.0,1.000,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,12.0,7.0,-2,5.0,2.0,0.4,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,4.0,86.0,5.0588235294117645,6.199999999999999,79.80000000000001,4.694117647058825
5,6,6,2022-10-28,25-137,IND,@,WAS,W (+10),0,11:37,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.6,-1,2.0,1.0,0.5,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,2.0,78.0,4.588235294117647,1.6,93.7,5.511764705882353
6,7,7,2022-10-29,25-138,IND,@,BRK,W (+9),1,22:51,3.0,8.0,.375,3.0,7.0,.429,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,9.0,2.3,+9,1.0,0.0,0.0,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,2.0,107.0,6.294117647058823,2.3,101.6,5.976470588235294
7,8,8,2022-10-31,25-140,IND,@,BRK,L (-7),1,37:50,10.0,15.0,.667,5.0,10.0,.500,5,6.0,.833,0.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,30.0,22.6,+4,5.0,5.0,1.0,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,12.0,48.0,2.823529411764706,20.600000000000005,43.3,2.5470588235294116
8,9,9,2022-11-04,25-144,IND,,MIA,W (+2),1,4:48,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,-0.4,-5,1.0,0.0,0.0,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,0.0,80.0,4.705882352941177,-0.4,75.1,4.417647058823529
9,10,,2022-11-07,25-147,IND,,NOP,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,38,43,44,46,4,12,33,37,10,35,31,43,15,5,33,73.0,75.0,78.0,80.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.5205479452054794,0.5733333333333334,0.5641025641025641,0.575,0.5714285714285714,0.0,0.3157894736842105,0.5238095238095238,0.5441176470588235,0.5555555555555556,0.0,0.5645161290322581,0.4769230769230769,0.5733333333333334,0.4838709677419355,0.7142857142857143,0.5892857142857143,7,13,46.0,71.0,62.0,16.0,0.1521739130434782,0.0,0.2096774193548387,0.0,17,,106.0,6.235294117647059,0.0,106.2,6.247058823529412
