Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Al Horford,Brandon Ingram,CJ McCollum,Dereon Seabron,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Al Horford,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,29-034,SAS,,CHO,L (-27),0,17:10,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,-3.2,-18,0.0,0.0,,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,-2.0,102.0,3.4,-3.2,89.89999999999999,2.9966666666666666
1,2,2,2022-10-21,29-036,SAS,@,IND,W (+3),0,28:12,8.0,13.0,.615,6.0,8.0,.750,5,5.0,1.000,0.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,27.0,19.2,+3,5.0,2.0,0.4,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,10.0,82.0,2.7333333333333334,17.2,86.90000000000002,2.8966666666666674
2,3,3,2022-10-22,29-037,SAS,@,PHI,W (+9),0,20:59,4.0,9.0,.444,2.0,6.0,.333,1,1.0,1.000,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,11.0,7.9,+1,3.0,2.0,0.6666666666666666,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,5.0,64.0,2.1333333333333333,7.499999999999998,66.6,2.2199999999999998
3,4,4,2022-10-24,29-039,SAS,@,MIN,W (+9),0,16:54,4.0,7.0,.571,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,9.0,7.9,+3,5.0,3.0,0.6,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,7.0,71.0,2.3666666666666667,7.9,75.19999999999999,2.5066666666666664
4,5,5,2022-10-26,29-041,SAS,@,MIN,L (-12),1,32:33,4.0,8.0,.500,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,10.0,2.0,1.0,0.0,2.0,11.0,16.8,-2,2.0,1.0,0.5,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,19.0,62.0,2.066666666666667,16.8,68.5,2.283333333333333
5,6,6,2022-10-28,29-043,SAS,,CHI,W (+5),1,30:31,4.0,10.0,.400,2.0,6.0,.333,2,2.0,1.000,1.0,4.0,5.0,6.0,1.0,0.0,2.0,2.0,12.0,10.9,-1,4.0,2.0,0.5,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,10.0,86.0,2.8666666666666667,10.099999999999998,65.2,2.1733333333333333
6,7,,2022-10-30,29-045,SAS,,MIN,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,,95.0,3.1666666666666665,0.0,75.99999999999999,2.5333333333333328
7,8,7,2022-11-02,29-048,SAS,,TOR,L (-43),0,18:30,3.0,9.0,.333,2.0,6.0,.333,2,2.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,10.0,4.5,-15,3.0,1.0,0.3333333333333333,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,1.0,68.0,2.2666666666666666,3.7,70.3,2.3433333333333333
8,9,8,2022-11-04,29-050,SAS,,LAC,L (-7),0,22:16,0.0,4.0,.000,0.0,2.0,.000,5,8.0,.625,0.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,5.0,-0.8,-13,2.0,0.0,0.0,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,-6.0,66.0,2.2,-2.8000000000000007,69.19999999999999,2.306666666666666
9,10,9,2022-11-05,29-051,SAS,@,DEN,L (-25),0,19:01,3.0,7.0,.429,2.0,4.0,.500,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,8.0,3.1,-8,3.0,1.0,0.3333333333333333,7,19,20,6,39,16,29,36,37,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079,21,22,1,18,8,23,15,23,6,12,18,23,23,8,63.0,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0,0.4666666666666667,0.2933333333333333,0.2,0.3050847457627119,0.32,0.3484848484848485,0.3191489361702128,0.2911392405063291,0.0983606557377049,0.48,0.2769230769230769,0.2987012987012987,0.2911392405063291,0.2105263157894736,0.0,30,3.0,97.0,3.2333333333333334,3.1,64.9,2.1633333333333336
