Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,19-328,MIN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,73.0,4.055555555555555,0.0,85.1,4.727777777777778,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,W (+7),W (+7)
2.0,,2022-10-21,19-330,MIN,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,66.0,3.6666666666666665,0.0,77.0,4.277777777777778,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-6),L (-6)
3.0,,2022-10-23,19-332,MIN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,81.0,4.5,0.0,90.4,5.022222222222222,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,W (+10),W (+10)
4.0,,2022-10-24,19-333,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,65.0,3.611111111111111,0.0,67.89999999999998,3.772222222222221,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-9),L (-9)
5.0,,2022-10-26,19-335,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,102.0,5.666666666666667,0.0,114.0,6.333333333333333,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,W (+12),W (+12)
6.0,,2022-10-28,19-337,MIN,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,84.0,4.666666666666667,0.0,100.4,5.577777777777778,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,W (+9),W (+9)
7.0,,2022-10-30,19-339,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,64.0,3.555555555555556,0.0,78.89999999999999,4.383333333333333,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-9),L (-9)
8.0,,2022-11-01,19-341,MIN,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,71.0,3.9444444444444446,0.0,83.9,4.661111111111111,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-9),L (-9)
9.0,,2022-11-04,19-344,MIN,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,65.0,3.611111111111111,0.0,71.4,3.966666666666667,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-13),L (-13)
10.0,,2022-11-05,19-345,MIN,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,99.0,5.5,0.0,112.09999999999998,6.227777777777777,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,W (+12),W (+12)
11.0,,2022-11-07,19-347,MIN,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,72.0,4.0,0.0,79.69999999999999,4.427777777777777,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-13),L (-13)
12.0,,2022-11-09,19-349,MIN,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14,9,8,8,14,11,8,2,11,13,14,13,12,9,15,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0,0.1772151898734177,0.173076923076923,0.32,0.1126760563380281,0.1772151898734177,0.1692307692307692,0.1860465116279069,0.0689655172413793,0.1594202898550724,0.4642857142857143,0.3684210526315789,0.1911764705882352,0.1714285714285714,0.1666666666666666,0.5172413793103449,3,6,5,34.0,67.0,59.0,29.0,0.088235294117647,0.0895522388059701,0.0847457627118644,0.0,18,,70.0,3.888888888888889,0.0,82.1,4.561111111111111,17.9,0.3,-1.6,-1.9,0.4,0.0048451653676005,0.582,0.167,0.222,0.0,0.1,L (-12),L (-12)
