Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,20-248,DET,,ORL,W (+4),1,31:44,8.0,15.0,.533,2.0,4.0,.500,1,1.0,1.000,1.0,2.0,3.0,4.0,3.0,0.0,2.0,3.0,19.0,15.6,-4,11.0,6.0,0.5454545454545454,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,11.0,69.0,3.45,15.200000000000005,79.60000000000001,3.9800000000000004
1,2,2,2022-10-21,20-250,DET,@,NYK,L (-24),1,29:05,6.0,12.0,.500,1.0,4.0,.250,4,4.0,1.000,1.0,1.0,2.0,9.0,0.0,0.0,4.0,4.0,17.0,12.7,-5,8.0,5.0,0.625,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,8.0,40.0,2.0,11.1,45.99999999999999,2.3
2,3,3,2022-10-22,20-251,DET,@,IND,L (-9),1,34:28,6.0,13.0,.462,2.0,3.0,.667,3,6.0,.500,2.0,8.0,10.0,5.0,1.0,0.0,5.0,3.0,17.0,11.2,-4,10.0,4.0,0.4,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,9.0,61.0,3.05,9.999999999999996,76.60000000000001,3.8300000000000005
3,4,4,2022-10-25,20-254,DET,@,WAS,L (-21),1,28:50,4.0,10.0,.400,1.0,3.0,.333,2,4.0,.500,0.0,2.0,2.0,4.0,2.0,0.0,0.0,5.0,11.0,8.2,-18,7.0,3.0,0.4285714285714285,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,5.0,30.0,1.5,7.4,47.29999999999999,2.3649999999999993
4,5,,2022-10-26,20-255,DET,,ATL,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,,66.0,3.3,0.0,73.69999999999999,3.6849999999999996
5,6,5,2022-10-28,20-257,DET,,ATL,L (-24),1,23:23,4.0,11.0,.364,2.0,6.0,.333,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,6.1,-12,5.0,2.0,0.4,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,1.0,49.0,2.45,5.300000000000001,68.10000000000001,3.4050000000000002
6,7,6,2022-10-30,20-259,DET,,GSW,W (+14),1,31:29,5.0,11.0,.455,2.0,5.0,.400,3,5.0,.600,1.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,15.0,10.3,+16,6.0,3.0,0.5,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,6.0,71.0,3.55,9.099999999999996,82.39999999999998,4.119999999999999
7,8,7,2022-10-31,20-260,DET,@,MIL,L (-2),1,40:16,8.0,17.0,.471,0.0,4.0,.000,3,4.0,.750,2.0,5.0,7.0,1.0,2.0,0.0,3.0,3.0,19.0,11.3,-9,13.0,8.0,0.6153846153846154,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,5.0,47.0,2.35,10.099999999999998,59.2,2.96
8,9,8,2022-11-02,20-262,DET,@,MIL,L (-25),1,30:15,3.0,11.0,.273,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,7.0,3.8,-13,7.0,2.0,0.2857142857142857,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,1.0,38.0,1.9,3.799999999999999,35.099999999999994,1.7549999999999997
9,10,9,2022-11-04,20-264,DET,,CLE,L (-24),1,34:11,6.0,13.0,.462,1.0,5.0,.200,5,6.0,.833,1.0,5.0,6.0,3.0,0.0,1.0,4.0,4.0,18.0,10.3,-21,8.0,5.0,0.625,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,5.0,22.0,1.1,8.299999999999997,28.000000000000004,1.4000000000000001
