Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,26-358,CHI,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,81.0,5.4,0.0,84.19999999999999,5.613333333333332,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,W (+8),W (+8)
2.0,,2022-10-21,26-360,CHI,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,61.0,4.066666666666666,0.0,68.8,4.586666666666667,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,L (-2),L (-2)
3.0,,2022-10-22,26-361,CHI,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,72.0,4.8,0.0,82.69999999999999,5.513333333333333,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,L (-32),L (-32)
4.0,1.0,2022-10-24,26-363,CHI,BOS,0,0.2666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,1.0,110.0,7.333333333333333,0.3,105.0,7.0,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,W (+18),W (+18)
5.0,2.0,2022-10-26,27-000,CHI,IND,0,0.65,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,0.0,99.0,6.6,0.0,89.59999999999998,5.973333333333332,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,W (+15),W (+15)
6.0,,2022-10-28,27-002,CHI,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,80.0,5.333333333333333,0.0,82.60000000000001,5.506666666666667,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,L (-5),L (-5)
7.0,,2022-10-29,27-003,CHI,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,66.0,4.4,0.0,82.19999999999999,5.48,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,L (-5),L (-5)
8.0,,2022-11-01,27-006,CHI,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,77.0,5.133333333333334,0.0,84.9,5.66,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,W (+9),W (+9)
9.0,,2022-11-02,27-007,CHI,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,94.0,6.266666666666667,0.0,89.89999999999999,5.993333333333333,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,W (+18),W (+18)
10.0,,2022-11-04,27-009,CHI,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,3,5,4,5,4,4,4,3,2,5,5,4,5,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,7.0,82.0,82.0,12.0,77.0,0.0597014925373134,0.044776119402985,0.0625,0.0,0.054054054054054,0.131578947368421,0.054054054054054,0.0625,0.0689655172413793,0.09375,,,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.3333333333333333,0.0649350649350649,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,15,,75.0,5.0,0.0,81.99999999999999,5.466666666666666,15.4,0.0,2.4,1.6,0.8,0.0005390254420008,0.625,0.75,0.0,0.0,0.0,L (-4),L (-4)
