Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Shared Games with Reggie Jackson,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,Anthony Davis,Austin Reaves,Cole Swider,D'Angelo Russell,Dennis Schröder,Jarred Vanderbilt,Kendrick Nunn,LeBron James,Lonnie Walker IV,Malik Beasley,Max Christie,Mo Bamba,Onyeka Okongwu,Scotty Pippen Jr.,Shaquille Harrison,Sterling Brown,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Dennis Schröder,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Max Christie,co_inf with Onyeka Okongwu,co_inf with Scotty Pippen Jr.,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Shaquille Harrison,co_inf with Sterling Brown,co_inf with Tristan Thompson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-130,DEN,@,UTA,L (-21),0,7:51,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-12,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,-2.0,80.0,2.2857142857142856,-2.0,69.4,1.982857142857143
1,2,2,2022-10-21,27-132,DEN,@,GSW,W (+5),0,10:57,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,0.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.8,+14,1.0,0.0,0.0,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,3.0,82.0,2.342857142857143,2.4,92.1,2.6314285714285712
2,3,,2022-10-22,27-133,DEN,,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,82.0,2.342857142857143,0.0,84.20000000000002,2.405714285714286
3,4,3,2022-10-24,27-135,DEN,@,POR,L (-25),0,7:34,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.8,-3,1.0,0.0,0.0,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,-2.0,104.0,2.9714285714285715,-0.7999999999999999,97.7,2.7914285714285714
4,5,4,2022-10-26,27-137,DEN,,LAL,W (+11),0,2:42,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.9,-8,1.0,0.0,0.0,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,-1.0,100.0,2.857142857142857,-1.9,72.0,2.057142857142857
5,6,,2022-10-28,27-139,DEN,,UTA,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,93.0,2.657142857142857,0.0,101.7,2.9057142857142857
6,7,5,2022-10-30,27-141,DEN,@,LAL,L (-11),0,2:35,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,0.0,102.0,2.914285714285714,0.0,98.6,2.817142857142857
7,8,6,2022-11-03,27-145,DEN,@,OKC,W (+12),0,8:14,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.9,+3,3.0,1.0,0.3333333333333333,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,0.0,78.0,2.2285714285714286,0.8999999999999999,79.60000000000001,2.2742857142857145
8,9,7,2022-11-05,27-147,DEN,,SAS,W (+25),0,4:49,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,-1.0,56.0,1.6,-1.0,64.9,1.8542857142857145
9,10,,2022-11-07,27-149,DEN,@,SAS,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,68.0,1.9428571428571428,0.0,66.6,1.9028571428571428
