Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,27-076,LAL,GSW,0,23.05,5.0,9.0,.556,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,13.0,8.2,-19,3.0,2.0,0.6666666666666666,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.0,71.0,4.4375,8.199999999999996,46.400000000000006,2.9000000000000004,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-14),L (-14)
2.0,2.0,2022-10-20,27-078,LAL,LAC,0,11.016666666666667,0.0,7.0,.000,0.0,4.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,-3.6,-18,3.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-3.0,88.0,5.5,-3.599999999999999,52.0,3.25,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-6),L (-6)
3.0,3.0,2022-10-23,27-081,LAL,POR,0,9.7,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,-4.6,-7,0.0,0.0,,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-4.0,86.0,5.375,-4.6,61.30000000000001,3.8312500000000007,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-2),L (-2)
4.0,4.0,2022-10-26,27-084,LAL,DEN,0,19.08333333333333,4.0,12.0,.333,1.0,4.0,.250,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,9.0,0.7,+9,8.0,3.0,0.375,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,103.0,6.4375,0.6999999999999997,56.400000000000006,3.5250000000000004,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-11),L (-11)
5.0,5.0,2022-10-28,27-086,LAL,MIN,0,12.433333333333334,4.0,9.0,.444,1.0,4.0,.250,0,1.0,.000,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,3.5,+4,5.0,3.0,0.6,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,99.0,6.1875,3.499999999999999,45.1,2.81875,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-9),L (-9)
6.0,6.0,2022-10-30,27-088,LAL,DEN,0,3.3833333333333333,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,+4,1.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,92.0,5.75,2.0,69.8,4.3625,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,W (+11),W (+11)
7.0,,2022-11-02,27-091,LAL,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,102.0,6.375,0.0,73.30000000000001,4.581250000000001,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,W (+3),W (+3)
8.0,7.0,2022-11-04,27-093,LAL,UTA,0,1.2833333333333332,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2,2.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,80.0,5.0,-1.4,57.2,3.575,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-14),L (-14)
9.0,8.0,2022-11-06,27-095,LAL,CLE,1,18.366666666666667,0.0,5.0,.000,0.0,4.0,.000,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,-0.8,-3,1.0,0.0,0.0,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,55.0,3.4375,-0.8000000000000003,44.1,2.75625,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-14),L (-14)
10.0,9.0,2022-11-07,27-096,LAL,UTA,1,26.78333333333333,7.0,11.0,.636,2.0,4.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,18.0,11.1,-11,7.0,5.0,0.7142857142857143,21,28,4,17,27,24,30,25,11,25,31,36,5,27,33,32,56.0,64.0,7.0,41.0,66.0,52.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.375,0.4375,0.5714285714285714,0.4146341463414634,0.4090909090909091,0.4615384615384615,0.5454545454545454,0.4464285714285714,0.3235294117647059,0.6097560975609756,0.4626865671641791,0.4931506849315068,0.8333333333333334,0.0,0.4576271186440678,,0.4342105263157895,0.4705882352941176,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4.0,64.0,4.0,10.3,43.8,2.7375,11.1,0.2,-3.5,-2.0,-1.5,0.0252182347235693,0.53,0.496,0.091,-0.4,-0.6,L (-23),L (-23)
