Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Payton Pritchard,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,24-263,BOS,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,78.0,4.333333333333333,0.0,96.5,5.361111111111111
1,2,,2022-10-21,24-266,BOS,@,MIA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,86.0,4.777777777777778,0.0,93.1,5.172222222222222
2,3,1,2022-10-22,24-267,BOS,@,ORL,W (+6),0,3:41,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.6,-2,1.0,0.0,0.0,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,1.0,94.0,5.222222222222222,1.6,113.6,6.311111111111111
3,4,2,2022-10-24,24-269,BOS,@,CHI,L (-18),0,5:27,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.3,+3,2.0,0.0,0.0,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,2.0,79.0,4.388888888888889,2.3,82.0,4.555555555555555
4,5,,2022-10-28,24-273,BOS,,CLE,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,67.0,3.7222222222222223,0.0,91.29999999999998,5.072222222222221
5,6,3,2022-10-30,24-275,BOS,,WAS,W (+18),0,7:24,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,-1.1,+1,0.0,0.0,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,-2.0,84.0,4.666666666666667,-1.5,86.9,4.827777777777778
6,7,,2022-11-02,24-278,BOS,@,CLE,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,77.0,4.277777777777778,0.0,81.79999999999998,4.544444444444443
7,8,,2022-11-04,24-280,BOS,,CHI,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,65.0,3.611111111111111,0.0,85.4,4.7444444444444445
8,9,,2022-11-05,24-281,BOS,@,NYK,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,93.0,5.166666666666667,0.0,110.5,6.138888888888889
9,10,,2022-11-07,24-283,BOS,@,MEM,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,35,23,48,48,35,42,7,22,45,37,29,4,17,23,47,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,35.0,80.0,0.5555555555555556,0.5609756097560976,,0.5853658536585366,0.6075949367088608,0.5223880597014925,0.5675675675675675,0.5833333333333334,0.9565217391304348,0.6521739130434783,0.5522388059701493,0.4754098360655737,1.0,0.7391304347826086,0.6571428571428571,0.5875,48,2,8,72.0,5.0,63.0,0.0,0.4,0.1269841269841269,18,,88.0,4.888888888888889,0.0,104.6,5.811111111111111
