Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,27-095,BOS,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,,78.0,4.588235294117647,0.0,96.5,5.676470588235294
1,2,,2022-10-21,27-098,BOS,@,MIA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,,86.0,5.0588235294117645,0.0,93.1,5.476470588235294
2,3,1,2022-10-22,27-099,BOS,@,ORL,W (+6),0,5:51,0.0,0.0,,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.1,-3,0.0,0.0,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,-1.0,95.0,5.588235294117647,-0.5000000000000001,114.1,6.711764705882352
3,4,2,2022-10-24,27-101,BOS,@,CHI,L (-18),0,5:27,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,+3,2.0,1.0,0.5,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,2.0,77.0,4.529411764705882,1.6,80.4,4.729411764705882
4,5,3,2022-10-28,27-105,BOS,,CLE,L (-9),0,25:34,2.0,3.0,.667,0.0,0.0,,0,0.0,,2.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,4.0,6.7,+7,3.0,2.0,0.6666666666666666,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,9.0,58.0,3.411764705882353,6.699999999999999,84.6,4.976470588235294
5,6,4,2022-10-30,27-107,BOS,,WAS,W (+18),0,19:15,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,3.0,4.0,3.0,0.0,2.0,3.0,3.0,3.0,3.6,+13,0.0,0.0,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,8.0,76.0,4.470588235294118,3.6,83.30000000000001,4.9
6,7,5,2022-11-02,27-110,BOS,@,CLE,L (-1),0,2:30,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-8,0.0,0.0,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,2.0,75.0,4.411764705882353,1.0,80.79999999999998,4.752941176470587
7,8,6,2022-11-04,27-112,BOS,,CHI,W (+4),0,14:30,1.0,3.0,.333,0.0,1.0,.000,2,2.0,1.000,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,7.3,+17,2.0,1.0,0.5,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,7.0,58.0,3.411764705882353,6.500000000000001,78.9,4.641176470588236
8,9,,2022-11-05,27-113,BOS,@,NYK,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,,93.0,5.470588235294118,0.0,110.5,6.5
9,10,,2022-11-07,27-115,BOS,@,MEM,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,,88.0,5.176470588235294,0.0,104.6,6.152941176470588
