Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Al Horford,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,AJ Griffin,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Mike Muscala,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Mike Muscala,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,21-112,TOR,,CLE,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,78.0,2.689655172413793,0.0,96.5,3.3275862068965516
1,2,,2022-10-21,21-114,TOR,@,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,86.0,2.9655172413793105,0.0,93.1,3.2103448275862068
2,3,,2022-10-22,21-115,TOR,@,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,94.0,3.2413793103448274,0.0,113.6,3.9172413793103447
3,4,,2022-10-24,21-117,TOR,@,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,79.0,2.7241379310344827,0.0,82.0,2.8275862068965516
4,5,,2022-10-26,21-119,TOR,,PHI,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,67.0,2.310344827586207,0.0,91.3,3.1482758620689655
5,6,1,2022-10-28,21-121,TOR,,PHI,L (-22),0,3:14,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,-1,1.0,1.0,1.0,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,2.0,82.0,2.827586206896552,2.3999999999999995,84.5,2.913793103448276
6,7,2,2022-10-31,21-124,TOR,,ATL,W (+30),0,5:22,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.6,+1,2.0,2.0,1.0,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,4.0,73.0,2.5172413793103448,3.6,78.19999999999999,2.6965517241379304
7,8,,2022-11-02,21-126,TOR,@,SAS,W (+43),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,65.0,2.2413793103448274,0.0,85.4,2.944827586206897
8,9,,2022-11-04,21-128,TOR,@,DAL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,93.0,3.206896551724138,0.0,110.5,3.810344827586207
9,10,,2022-11-06,21-130,TOR,,CHI,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,3,2,3,2,1,2,1,3,3,3,2,1,3,2,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.0394736842105263,0.0517241379310344,0.0967741935483871,0.0289855072463768,0.0454545454545454,0.08,0.1111111111111111,0.0476190476190476,0.05,0.0566037735849056,0.044776119402985,0.0,0.0422535211267605,0.0363636363636363,0.1111111111111111,0.0389610389610389,0.037037037037037,2,2,2,2,2,1,1,1,2,1,2,2,2,72.0,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,63.0,23.0,48.0,35.0,80.0,0.0,0.0317460317460317,0.0,,0.024390243902439,0.0253164556962025,0.0298507462686567,0.027027027027027,0.0,0.0434782608695652,0.0144927536231884,0.0149253731343283,0.0327868852459016,0.0,0.0,0.0434782608695652,0.0416666666666666,0.0571428571428571,0.025,29,,88.0,3.034482758620689,0.0,104.6,3.606896551724138
