Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2022-10-19,20-278,SAS,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,42.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-27),L (-27)
2,,2022-10-21,20-280,SAS,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,61.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,W (+3),W (+3)
3,,2022-10-22,20-281,SAS,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,63.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,W (+9),W (+9)
4,,2022-10-24,20-283,SAS,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,72.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,W (+9),W (+9)
5,1.0,2022-11-02,20-292,SAS,TOR,0,20.85,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.3,-16,1.0,0.0,0.0,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0.0,68.0,0.0,0.2999999999999998,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-43),L (-43)
6,,2022-11-04,20-294,SAS,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,67.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-7),L (-7)
7,2.0,2022-11-05,20-295,SAS,DEN,0,4.816666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0,0.0,0.0,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,58.0,0.0,-1.1,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-25),L (-25)
8,,2022-11-07,20-297,SAS,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,63.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-6),L (-6)
9,,2022-11-09,20-299,SAS,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,65.0,0.0,0.0,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,L (-2),L (-2)
10,3.0,2022-11-11,20-301,SAS,MIL,0,1.65,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0.0,0.0,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,1.0,65.0,0.0,0.7,0,,5.5,-0.1,-7.6,-4.7,-2.9,0.0030208220951558,0.438,0.536,0.321,-0.1,-0.1,W (+18),W (+18)
