Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with JD Davison,co_inf with Kessler Edwards,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2023-01-09,26-076,SAC,,ORL,W (+25),0,4:46,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,0.0,75.0,4.411764705882353,-0.3999999999999999,75.79999999999998,4.458823529411764
1,2,2,2023-01-11,26-078,SAC,,HOU,W (+20),0,1:47,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.7,+3,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,3.0,59.0,3.4705882352941178,3.7,75.30000000000001,4.429411764705883
2,3,3,2023-01-13,26-080,SAC,,HOU,W (+25),0,0:20,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,0.0,78.0,4.588235294117647,0.0,89.8,5.2823529411764705
3,4,,2023-01-15,26-082,SAC,@,SAS,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,66.0,3.882352941176471,0.0,79.69999999999999,4.688235294117646
4,5,,2023-01-18,26-085,SAC,@,LAL,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,78.79999999999997,4.635294117647057
5,6,,2023-01-20,26-087,SAC,,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,78.1,4.594117647058823
6,7,,2023-01-21,26-088,SAC,,PHI,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,78.1,4.594117647058823
7,8,4,2023-01-23,26-090,SAC,,MEM,W (+33),0,3:22,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,+7,1.0,1.0,1.0,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,4.0,62.0,3.647058823529412,3.999999999999999,85.10000000000001,5.005882352941177
8,9,,2023-01-25,26-092,SAC,,TOR,L (-18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,76.79999999999997,4.517647058823528
9,10,,2023-01-28,26-095,SAC,@,MIN,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,77.0,4.529411764705882,0.0,102.6,6.035294117647059
