Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,25-156,SAC,,POR,L (-7),0,25:03,4.0,9.0,.444,2.0,5.0,.400,4,4.0,1.000,1.0,4.0,5.0,1.0,2.0,1.0,0.0,3.0,14.0,13.4,-8,4.0,2.0,0.5,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,10.0,65.0,3.611111111111111,11.799999999999995,67.89999999999999,3.7722222222222217
1,2,2,2022-10-22,25-159,SAC,,LAC,L (-2),0,12:24,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,6.0,+1,1.0,1.0,1.0,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,5.0,57.0,3.1666666666666665,6.0,73.00000000000001,4.055555555555556
2,3,3,2022-10-23,25-160,SAC,@,GSW,L (-5),0,15:52,3.0,6.0,.500,0.0,2.0,.000,1,2.0,.500,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0,3.2,-3,4.0,3.0,0.75,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,2.0,76.0,4.222222222222222,2.8,87.0,4.833333333333333
3,4,4,2022-10-27,25-164,SAC,,MEM,L (-15),0,10:52,1.0,5.0,.200,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.8,-14,1.0,0.0,0.0,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,1.0,65.0,3.611111111111111,0.8000000000000003,78.89999999999999,4.383333333333333
4,5,5,2022-10-29,25-166,SAC,,MIA,W (+6),0,5:19,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,0.0,0.0,,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,-1.0,71.0,3.9444444444444446,-0.7,79.49999999999997,4.416666666666665
5,6,6,2022-10-31,25-168,SAC,@,CHO,W (+7),0,4:29,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.6,-1,1.0,1.0,1.0,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,2.0,61.0,3.388888888888889,2.2,75.89999999999999,4.216666666666666
6,7,7,2022-11-02,25-170,SAC,@,MIA,L (-3),0,8:01,0.0,3.0,.000,0.0,3.0,.000,4,4.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,3.4,-2,0.0,0.0,,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,2.0,68.0,3.7777777777777777,1.800000000000001,76.3,4.238888888888889
7,8,8,2022-11-05,25-173,SAC,@,ORL,W (+3),0,8:29,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,5.0,6.0,+6,2.0,1.0,0.5,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,6.0,60.0,3.333333333333333,5.999999999999998,83.10000000000001,4.616666666666667
8,9,9,2022-11-07,25-175,SAC,@,GSW,L (-3),0,18:13,3.0,8.0,.375,3.0,7.0,.429,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,6.4,-1,1.0,0.0,0.0,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,7.0,52.0,2.888888888888889,6.399999999999998,70.39999999999998,3.9111111111111097
9,10,,2022-11-09,25-177,SAC,,CLE,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,21,2,54,62,57,63,64,62,15,57,24,59,29,5,13,32,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,74.0,0.8076923076923077,1.0,0.8181818181818182,0.775,0.7808219178082192,0.0,0.7974683544303798,0.7804878048780488,0.775,0.9375,0.76,0.6857142857142857,0.7662337662337663,0.90625,1.0,0.8125,0.7619047619047619,0.7702702702702703,16,12.0,36.0,0.4444444444444444,0.0,18,,77.0,4.277777777777778,0.0,102.6,5.699999999999999
