Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,19-283,ORL,@,DET,L (-4),0,21:55,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,-1.7,-14,1.0,0.0,0.0,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,1.0,62.0,3.4444444444444446,-1.7,60.59999999999998,3.3666666666666654
1,2,,2022-10-21,19-285,ORL,@,ATL,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,,45.0,2.5,0.0,50.49999999999999,2.8055555555555554
2,3,,2022-10-22,19-286,ORL,,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,,94.0,5.222222222222222,0.0,81.2,4.511111111111111
3,4,2,2022-10-24,19-288,ORL,@,NYK,L (-13),0,21:05,2.0,4.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,4.9,-17,2.0,1.0,0.5,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,3.0,41.0,2.2777777777777777,4.1,55.69999999999999,3.0944444444444437
4,5,3,2022-10-26,19-290,ORL,@,CLE,L (-11),0,15:05,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.1,+2,1.0,1.0,1.0,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,2.0,45.0,2.5,1.1,46.60000000000001,2.5888888888888895
5,6,4,2022-10-28,19-292,ORL,,CHO,W (+20),0,24:02,1.0,6.0,.167,1.0,6.0,.167,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,3.0,-2.1,+2,0.0,0.0,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,0.0,71.0,3.9444444444444446,-2.1,64.6,3.5888888888888886
6,7,,2022-10-30,19-294,ORL,@,DAL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,,47.0,2.611111111111111,0.0,49.2,2.7333333333333334
7,8,5,2022-11-01,19-296,ORL,@,OKC,L (-8),0,14:52,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.9,+5,2.0,0.0,0.0,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,0.0,68.0,3.7777777777777777,0.8999999999999995,67.89999999999998,3.772222222222221
8,9,6,2022-11-03,19-298,ORL,,GSW,W (+1),0,4:52,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.6,+11,0.0,0.0,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,1.0,65.0,3.611111111111111,1.8000000000000005,81.10000000000001,4.505555555555556
9,10,,2022-11-05,19-300,ORL,,SAC,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,40,22,32,49,28,31,3,22,34,4,22,31,42,19,26,35,37.0,70.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.5714285714285714,0.8148148148148148,0.5333333333333333,0.6125,0.5833333333333334,0.5849056603773585,0.0,0.2727272727272727,0.6470588235294118,0.5666666666666667,1.0,0.4489795918367347,0.543859649122807,0.5833333333333334,0.4042553191489361,0.4126984126984127,0.6140350877192983,13,82.0,38.0,0.3421052631578947,0.0,18,,86.0,4.777777777777778,0.0,90.4,5.022222222222222
