Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-337,ORL,@,DET,L (-4),0,17:32,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,2.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,10.0,8.7,-4,6.0,4.0,0.6666666666666666,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,7.0,56.0,3.111111111111111,7.899999999999999,50.99999999999999,2.833333333333333
1,2,2,2022-10-21,22-339,ORL,@,ATL,L (-10),0,11:45,2.0,3.0,.667,0.0,0.0,,1,1.0,1.000,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,5.0,5.4,-4,3.0,2.0,0.6666666666666666,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,5.0,40.0,2.2222222222222223,5.0,45.5,2.5277777777777777
2,3,3,2022-10-22,22-340,ORL,,BOS,L (-6),0,14:52,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.0,6.0,5.8,+9,6.0,3.0,0.5,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,8.0,86.0,4.777777777777778,5.800000000000001,75.39999999999999,4.188888888888888
3,4,4,2022-10-24,22-342,ORL,@,NYK,L (-13),0,20:16,8.0,10.0,.800,1.0,2.0,.500,2,2.0,1.000,3.0,2.0,5.0,0.0,0.0,4.0,2.0,2.0,19.0,17.9,0,8.0,7.0,0.875,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,14.0,30.0,1.6666666666666667,17.099999999999998,42.69999999999999,2.372222222222222
4,5,5,2022-10-26,22-344,ORL,@,CLE,L (-11),0,21:46,4.0,7.0,.571,1.0,2.0,.500,0,2.0,.000,3.0,7.0,10.0,1.0,0.0,2.0,0.0,2.0,9.0,10.4,-2,5.0,3.0,0.6,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,13.0,34.0,1.8888888888888888,10.4,37.3,2.072222222222222
5,6,6,2022-10-28,22-346,ORL,,CHO,W (+20),1,26:33,4.0,6.0,.667,0.0,2.0,.000,3,4.0,.750,0.0,7.0,7.0,1.0,1.0,1.0,2.0,1.0,11.0,10.1,+18,4.0,4.0,1.0,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,9.0,62.0,3.4444444444444446,8.899999999999999,53.6,2.977777777777778
6,7,7,2022-10-30,22-348,ORL,@,DAL,L (-9),1,29:44,7.0,10.0,.700,0.0,1.0,.000,2,2.0,1.000,3.0,8.0,11.0,0.0,0.0,3.0,2.0,4.0,16.0,14.8,-5,9.0,7.0,0.7777777777777778,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,16.0,31.0,1.7222222222222223,13.999999999999998,35.2,1.9555555555555557
7,8,8,2022-11-01,22-350,ORL,@,OKC,L (-8),1,30:53,4.0,6.0,.667,1.0,1.0,1.000,4,4.0,1.000,3.0,9.0,12.0,1.0,0.0,4.0,6.0,2.0,13.0,11.9,-3,5.0,3.0,0.6,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,14.0,54.0,3.0,10.299999999999995,58.49999999999999,3.2499999999999996
8,9,9,2022-11-03,22-352,ORL,,GSW,W (+1),1,18:39,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,1.0,5.0,6.0,1.0,0.0,2.0,0.0,1.0,4.0,6.6,-11,2.0,2.0,1.0,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,10.0,56.0,3.111111111111111,6.6,76.3,4.238888888888889
9,10,10,2022-11-05,22-354,ORL,,SAC,L (-3),1,37:00,10.0,11.0,.909,2.0,3.0,.667,1,1.0,1.000,1.0,6.0,7.0,2.0,0.0,0.0,0.0,5.0,23.0,21.2,+10,8.0,8.0,1.0,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,20.0,66.0,3.6666666666666665,20.8,69.6,3.8666666666666663
10,11,11,2022-11-07,22-356,ORL,,HOU,L (-7),1,20:35,2.0,5.0,.400,0.0,1.0,.000,5,5.0,1.000,0.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,9.0,5.9,-1,4.0,2.0,0.5,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,1.0,58.0,3.2222222222222223,3.9,56.9,3.161111111111111
11,12,12,2022-11-09,22-358,ORL,,DAL,W (+7),1,25:13,4.0,6.0,.667,2.0,2.0,1.000,1,2.0,.500,0.0,7.0,7.0,0.0,0.0,1.0,2.0,1.0,11.0,8.4,-3,4.0,2.0,0.5,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,9.0,44.0,2.4444444444444446,7.999999999999998,40.1,2.227777777777778
12,13,13,2022-11-11,22-360,ORL,,PHO,W (+17),1,30:54,5.0,8.0,.625,3.0,3.0,1.000,0,0.0,,0.0,15.0,15.0,1.0,0.0,0.0,3.0,1.0,13.0,11.2,+15,5.0,2.0,0.4,33,40,25,48,69,36,44,11,33,48,4,37,47,60,25,37,45,37.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.8918918918918919,0.7843137254901961,0.925925925925926,0.8,0.8625,0.75,0.8301886792452831,0.0,1.0,0.9705882352941176,0.8,1.0,0.7551020408163265,0.8245614035087719,0.8333333333333334,0.5319148936170213,0.5873015873015873,0.7894736842105263,10,82.0,38.0,0.2631578947368421,0.0,18,18.0,46.0,2.555555555555556,11.2,51.6,2.8666666666666667
