Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Derrick White,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Moritz Wagner,Paolo Banchero,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Derrick White,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with Wendell Carter Jr.,co_inf with Jay Scrubb,co_inf with Michael Carter-Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,23-091,IND,,WAS,L (-7),0,10:06,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.2,+6,1.0,0.0,0.0,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,3.0,60.0,1.875,0.1999999999999993,58.69999999999999,1.8343749999999996
1,2,2,2022-10-21,23-093,IND,,SAS,L (-3),0,18:06,4.0,7.0,.571,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,2.8,-7,5.0,4.0,0.8,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,1.0,44.0,1.375,2.7999999999999994,47.69999999999999,1.4906249999999996
2,3,3,2022-10-22,23-094,IND,,DET,W (+9),0,25:24,6.0,8.0,.750,1.0,3.0,.333,1,4.0,.250,8.0,7.0,15.0,4.0,1.0,1.0,1.0,3.0,14.0,19.6,+8,5.0,5.0,1.0,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,22.0,72.0,2.25,19.2,62.0,1.9375
3,4,4,2022-10-24,23-096,IND,@,PHI,L (-14),0,20:44,0.0,2.0,.000,0.0,1.0,.000,3,4.0,.750,0.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0,-8,1.0,0.0,0.0,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,3.0,41.0,1.28125,1.7999999999999994,58.0,1.8125
4,5,,2022-10-26,23-098,IND,@,CHI,L (-15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,,47.0,1.46875,0.0,47.7,1.490625
5,6,5,2022-10-28,23-100,IND,@,WAS,W (+10),0,2:26,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.3,-1,0.0,0.0,,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,1.0,70.0,2.1875,1.5,60.99999999999999,1.9062499999999998
6,7,6,2022-10-29,23-101,IND,@,BRK,W (+9),0,13:25,2.0,2.0,1.000,0.0,0.0,,1,4.0,.250,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,5.5,-10,2.0,2.0,1.0,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,3.0,44.0,1.375,5.1,44.1,1.378125
7,8,7,2022-10-31,23-103,IND,@,BRK,L (-7),0,7:49,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,3.6,+10,3.0,1.0,0.3333333333333333,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,5.0,63.0,1.96875,3.6,65.19999999999999,2.0374999999999996
8,9,,2022-11-04,23-107,IND,,MIA,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,,66.0,2.0625,0.0,82.89999999999999,2.5906249999999997
9,10,,2022-11-07,23-110,IND,,NOP,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,17,21,21,12,19,18,8,3,15,17,20,14,2,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.2465753424657534,0.2266666666666666,0.2692307692307692,0.2625,0.2608695652173913,0.0,0.0,0.3015873015873015,0.2647058823529412,0.4444444444444444,0.5,0.2419354838709677,0.2615384615384615,0.2666666666666666,0.4516129032258064,0.2857142857142857,0.3392857142857143,7,10,13,5,16,16,13,14,1,5,16,14,15,15,18,19,13,37.0,70.0,51.0,27.0,60.0,82.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,57.0,72.0,57.0,0.1891891891891892,0.1428571428571428,0.2549019607843137,0.1851851851851851,0.2666666666666666,0.0,0.2,0.2708333333333333,0.2641509433962264,0.0909090909090909,0.1470588235294117,0.2666666666666666,0.2631578947368421,0.2083333333333333,0.2280701754385964,0.0,0.0,32,,86.0,2.6875,0.0,90.4,2.825
