Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,20-054,CHO,@,SAS,W (+27),0,8:01,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,+6,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,1.0,80.0,4.444444444444445,0.3,101.0,5.611111111111111
1,2,,2022-10-21,20-056,CHO,,NOP,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,,52.0,2.888888888888889,0.0,70.7,3.927777777777778
2,3,2,2022-10-23,20-058,CHO,@,ATL,W (+17),0,16:14,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,5.0,4.1,+12,1.0,1.0,1.0,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,7.0,77.0,4.277777777777778,4.1,98.0,5.444444444444445
3,4,3,2022-10-26,20-061,CHO,@,NYK,L (-3),0,8:57,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,-6,1.0,1.0,1.0,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,2.0,57.0,3.1666666666666665,2.0,81.19999999999999,4.51111111111111
4,5,4,2022-10-28,20-063,CHO,@,ORL,L (-20),0,14:09,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.2,-13,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,-1.0,44.0,2.4444444444444446,-2.2,59.8,3.322222222222222
5,6,5,2022-10-29,20-064,CHO,,GSW,W (+7),0,8:45,0.0,0.0,,0.0,0.0,,3,3.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.9,+8,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,3.0,46.0,2.555555555555556,2.7,71.6,3.9777777777777774
6,7,6,2022-10-31,20-066,CHO,,SAC,L (-7),0,5:21,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-2,0.0,0.0,,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,-1.0,60.0,3.333333333333333,-1.4,67.19999999999999,3.7333333333333325
7,8,7,2022-11-02,20-068,CHO,@,CHI,L (-18),0,13:11,2.0,4.0,.500,0.0,1.0,.000,0,1.0,.000,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,4.6,-10,3.0,2.0,0.6666666666666666,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,4.0,37.0,2.055555555555556,4.599999999999999,52.50000000000001,2.916666666666667
8,9,8,2022-11-04,20-070,CHO,@,MEM,L (-31),0,26:00,4.0,12.0,.333,2.0,5.0,.400,1,2.0,.500,2.0,3.0,5.0,2.0,1.0,1.0,2.0,0.0,11.0,7.2,0,7.0,2.0,0.2857142857142857,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,4.0,38.0,2.111111111111111,6.800000000000001,55.8,3.0999999999999996
9,10,9,2022-11-05,20-071,CHO,,BRK,L (-4),0,16:29,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,3.3,+14,1.0,0.0,0.0,42,7,51,44,43,29,36,35,4,32,42,43,53,60,51,33,46.0,7.0,54.0,50.0,80.0,34.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.9130434782608696,1.0,0.9444444444444444,0.88,0.5375,0.8529411764705882,0.782608695652174,0.7291666666666666,0.8,0.8888888888888888,0.9767441860465116,0.5443037974683544,0.8153846153846154,0.821917808219178,0.8095238095238095,0.75,0.0,30,19,67.0,32.0,0.0,0.59375,18,4.0,26.0,1.4444444444444444,3.3,40.7,2.261111111111111
