Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-075,DEN,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,51.0,3.0,0.0,66.0,3.882352941176471,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,L (-21),L (-21)
2.0,,2022-10-21,25-077,DEN,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+5),W (+5)
3.0,,2022-10-22,25-078,DEN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,81.0,4.764705882352941,0.0,92.39999999999998,5.435294117647057,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+5),W (+5)
4.0,,2022-10-24,25-080,DEN,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,62.0,3.647058823529412,0.0,69.80000000000001,4.105882352941177,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,L (-25),L (-25)
5.0,1.0,2022-10-26,25-082,DEN,LAL,0,2.7666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-7,0.0,0.0,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,1.0,103.0,6.0588235294117645,1.0,110.6,6.505882352941176,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+11),W (+11)
6.0,2.0,2022-10-28,25-084,DEN,UTA,0,1.3333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2,0.0,0.0,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,1.0,62.0,3.647058823529412,0.3,69.60000000000001,4.094117647058824,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+16),W (+16)
7.0,,2022-10-30,25-086,DEN,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,70.0,4.117647058823529,0.0,84.1,4.947058823529411,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,L (-11),L (-11)
8.0,,2022-11-03,25-090,DEN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,92.0,5.411764705882353,0.0,103.29999999999998,6.076470588235293,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+12),W (+12)
9.0,,2022-11-05,25-092,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,95.0,5.588235294117647,0.0,101.3,5.958823529411765,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+25),W (+25)
10.0,,2022-11-07,25-094,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,80.0,4.705882352941177,0.0,91.7,5.394117647058824,12.6,0.1,-1.9,-2.6,0.7,0.0022116903633491,0.517,0.474,0.158,0.0,0.1,W (+6),W (+6)
