Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with Aaron Gordon,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Reggie Jackson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bruce Brown,Christian Braun,Collin Gillespie,DeAndre Jordan,Donovan Williams,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Reggie Jackson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with DeAndre Jordan,co_inf with Donovan Williams,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Reggie Jackson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,25-079,LAL,@,GSW,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,51.0,1.59375,0.0,66.0,2.0625
1,2,,2022-10-20,25-081,LAL,,LAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,88.0,2.75,0.0,101.2,3.1625
2,3,,2022-10-23,25-084,LAL,,POR,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,81.0,2.53125,0.0,92.39999999999998,2.8874999999999993
3,4,,2022-10-26,25-087,LAL,@,DEN,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,62.0,1.9375,0.0,69.80000000000001,2.1812500000000004
4,5,,2022-10-28,25-089,LAL,@,MIN,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,104.0,3.25,0.0,111.6,3.4875
5,6,,2022-10-30,25-091,LAL,,DEN,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,63.0,1.96875,0.0,69.9,2.184375
6,7,,2022-11-02,25-094,LAL,,NOP,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,70.0,2.1875,0.0,84.1,2.628125
7,8,,2022-11-04,25-096,LAL,,UTA,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,92.0,2.875,0.0,103.29999999999998,3.2281249999999995
8,9,,2022-11-06,25-098,LAL,,CLE,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,95.0,2.96875,0.0,101.3,3.165625
9,10,,2022-11-07,25-099,LAL,@,UTA,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,18,23,4,13,40,19,27,33,26,2,24,34,39,4,37,30,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,,76.0,68.0,0.3214285714285714,0.359375,0.5714285714285714,0.3170731707317073,0.6060606060606061,0.3653846153846153,0.3857142857142857,0.6,0.4642857142857143,0.0588235294117647,0.5853658536585366,0.5074626865671642,0.5342465753424658,0.6666666666666666,0.0,,0.4868421052631579,0.4411764705882353,22,13,17,17,2,12,4,14,16,18,18,18,6,9,13,4,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,68.0,60.0,53.0,0.1911764705882352,0.2125,0.2236842105263158,,0.0512820512820512,0.0,0.2790697674418604,0.2352941176470588,0.2153846153846154,0.2857142857142857,0.2368421052631578,0.2903225806451613,0.2608695652173913,0.2608695652173913,0.1323529411764706,0.2166666666666666,0.0754716981132075,32,,80.0,2.5,0.0,91.7,2.865625
