Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Shared Games with Justin Holiday,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Shared Games with Moses Brown,Shared Games with Nerlens Noel,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dru Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Moses Brown,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Yuta Watanabe,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,co_inf with Alondes Williams,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Moses Brown,co_inf with Nerlens Noel,co_inf with RaiQuan Gray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,29-168,DAL,@,PHO,L (-2),1,38:12,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,0.0,4.0,5.0,4.3,-10,2.0,1.0,0.5,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,6.0,85.0,2.2972972972972974,4.299999999999999,83.89999999999999,2.2675675675675673
1,2,2,2022-10-22,29-171,DAL,,MEM,W (+41),1,27:07,3.0,6.0,.500,1.0,4.0,.250,0,1.0,.000,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,6.9,+28,2.0,2.0,1.0,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,7.0,69.0,1.864864864864865,6.899999999999998,68.99999999999999,1.8648648648648645
2,3,3,2022-10-25,29-174,DAL,@,NOP,L (-2),1,34:43,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,4.0,3.6,-4,3.0,2.0,0.6666666666666666,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,5.0,68.0,1.837837837837838,3.5999999999999988,69.6,1.881081081081081
3,4,4,2022-10-27,29-176,DAL,@,BRK,W (+4),1,39:38,2.0,7.0,.286,1.0,6.0,.167,1,2.0,.500,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,6.0,0.9,0,1.0,1.0,1.0,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,0.0,64.0,1.7297297297297298,0.4999999999999995,64.19999999999999,1.7351351351351347
4,5,5,2022-10-29,29-178,DAL,,OKC,L (-6),1,35:00,5.0,15.0,.333,3.0,9.0,.333,0,0.0,,4.0,1.0,5.0,1.0,0.0,2.0,1.0,4.0,13.0,7.1,-7,6.0,2.0,0.3333333333333333,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,5.0,77.0,2.081081081081081,7.1,88.8,2.4
5,6,6,2022-10-30,29-179,DAL,,ORL,W (+9),1,29:10,5.0,7.0,.714,3.0,5.0,.600,0,0.0,,1.0,7.0,8.0,0.0,2.0,0.0,0.0,3.0,13.0,13.7,-1,2.0,2.0,1.0,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,16.0,81.0,2.189189189189189,13.700000000000005,81.29999999999998,2.197297297297297
6,7,7,2022-11-02,29-182,DAL,,UTA,W (+3),1,26:06,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.9,0,3.0,2.0,0.6666666666666666,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,2.0,86.0,2.324324324324324,2.9000000000000004,102.2,2.7621621621621624
7,8,8,2022-11-04,29-184,DAL,,TOR,W (+1),1,30:42,4.0,7.0,.571,2.0,5.0,.400,1,2.0,.500,2.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,11.0,6.9,-2,2.0,2.0,1.0,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,4.0,79.0,2.135135135135135,6.499999999999998,87.69999999999999,2.37027027027027
8,9,9,2022-11-07,29-187,DAL,,BRK,W (+2),1,35:01,5.0,9.0,.556,2.0,5.0,.400,6,6.0,1.000,1.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,18.0,12.3,-7,4.0,3.0,0.75,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,4.0,98.0,2.6486486486486487,9.9,100.7,2.7216216216216216
9,10,10,2022-11-09,29-189,DAL,@,ORL,L (-7),1,30:43,3.0,6.0,.500,2.0,5.0,.400,0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,6.7,-4,1.0,1.0,1.0,29,35,20,19,16,22,34,35,22,4,39,64,15,37,2,1.0,67.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4328358208955223,0.4605263157894737,0.4444444444444444,0.0,0.4042553191489361,0.3333333333333333,0.5238095238095238,0.5666666666666667,0.0,0.5303030303030303,0.5945945945945946,0.1481481481481481,0.5,0.810126582278481,0.375,0.5211267605633803,0.6666666666666666,2,17,7,16,7,25,19,19,21,17,24,3,23,22,16,15,18,24,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.1320754716981132,0.3378378378378378,0.3157894736842105,0.075,0.0,0.3026315789473684,0.360655737704918,0.2586206896551724,0.0,0.5714285714285714,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,5.0,77.0,2.081081081081081,6.699999999999999,88.80000000000003,2.400000000000001
