Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-081,POR,@,SAC,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,100.0,4.761904761904762,0.0,103.6,4.933333333333333
1,2,,2022-10-21,20-083,POR,,PHO,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,79.0,3.761904761904762,0.0,86.39999999999998,4.114285714285713
2,3,,2022-10-23,20-085,POR,@,LAL,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,101.0,4.809523809523809,0.0,96.2,4.580952380952381
3,4,1,2022-10-24,20-086,POR,,DEN,W (+25),0,4:07,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,+3,1.0,1.0,1.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,4.0,105.0,5.0,3.0,116.59999999999998,5.552380952380951
4,5,2,2022-10-26,20-088,POR,,MIA,L (-21),0,7:48,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.4,0,1.0,1.0,1.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,6.0,50.0,2.380952380952381,4.4,62.7,2.9857142857142858
5,6,3,2022-10-28,20-090,POR,,HOU,W (+14),0,0:58,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0,0.0,0.0,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,-1.0,119.0,5.666666666666667,-0.7,127.80000000000004,6.085714285714287
6,7,,2022-11-02,20-095,POR,,MEM,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,62.0,2.952380952380953,0.0,68.0,3.238095238095238
7,8,4,2022-11-04,20-097,POR,@,PHO,W (+2),0,9:18,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.9,+4,3.0,1.0,0.3333333333333333,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,4.0,84.0,4.0,2.9,84.7,4.033333333333333
8,9,5,2022-11-05,20-098,POR,@,PHO,L (-20),0,15:53,1.0,2.0,.500,0.0,0.0,,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,3.1,-2,2.0,1.0,0.5,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,4.0,36.0,1.7142857142857142,2.700000000000001,37.2,1.7714285714285716
9,10,,2022-11-07,20-100,POR,@,MIA,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,67.0,3.1904761904761907,0.0,77.9,3.7095238095238097
