Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,32-096,POR,@,SAC,W (+7),1,36:45,5.0,18.0,.278,1.0,8.0,.125,9,9.0,1.000,3.0,1.0,4.0,8.0,2.0,0.0,4.0,0.0,20.0,15.4,-1,10.0,4.0,0.4,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,3.0,97.0,4.409090909090909,11.8,97.3,4.422727272727273
1,2,2,2022-10-21,32-098,POR,,PHO,W (+2),1,42:37,12.0,25.0,.480,5.0,12.0,.417,12,12.0,1.000,1.0,6.0,7.0,3.0,0.0,1.0,4.0,2.0,41.0,28.8,-2,13.0,7.0,0.5384615384615384,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,11.0,68.0,3.090909090909091,24.0,62.39999999999999,2.836363636363636
2,3,3,2022-10-23,32-100,POR,@,LAL,W (+2),1,34:11,15.0,25.0,.600,6.0,13.0,.462,5,7.0,.714,1.0,4.0,5.0,2.0,0.0,1.0,6.0,3.0,41.0,25.5,+2,12.0,9.0,0.75,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,11.0,90.0,4.090909090909091,23.500000000000007,72.7,3.3045454545454547
3,4,4,2022-10-24,32-101,POR,,DEN,W (+25),1,34:41,10.0,16.0,.625,4.0,7.0,.571,7,8.0,.875,1.0,5.0,6.0,8.0,1.0,0.0,1.0,2.0,31.0,30.4,+24,9.0,6.0,0.6666666666666666,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,21.0,88.0,4.0,27.60000000000001,92.0,4.181818181818182
4,5,5,2022-10-26,32-103,POR,,MIA,L (-21),1,26:29,6.0,13.0,.462,4.0,11.0,.364,6,6.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,22.0,14.3,-10,2.0,2.0,1.0,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,4.0,52.0,2.363636363636364,11.899999999999997,55.2,2.5090909090909093
5,6,,2022-10-28,32-105,POR,,HOU,W (+14),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,,118.0,5.363636363636363,0.0,127.10000000000002,5.777272727272728
6,7,,2022-11-02,32-110,POR,,MEM,L (-5),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,,62.0,2.8181818181818183,0.0,68.0,3.090909090909091
7,8,,2022-11-04,32-112,POR,@,PHO,W (+2),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,,88.0,4.0,0.0,87.60000000000001,3.9818181818181824
8,9,,2022-11-05,32-113,POR,@,PHO,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,,40.0,1.818181818181818,0.0,39.900000000000006,1.813636363636364
9,10,6,2022-11-07,32-115,POR,@,MIA,W (+3),1,34:32,4.0,12.0,.333,3.0,8.0,.375,8,9.0,.889,0.0,3.0,3.0,6.0,0.0,0.0,4.0,2.0,19.0,12.1,+6,4.0,1.0,0.25,51,1,58,15,12,36,5,50,8,41,4,17,40,31,37,58,5,44,62.0,1,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.8225806451612904,1.0,0.7435897435897436,0.6818181818181818,0.75,0.6428571428571429,1.0,0.7936507936507936,0.4210526315789473,0.5394736842105263,1.0,0.5862068965517241,0.7692307692307693,0.775,0.6851851851851852,0.0,0.725,0.0,0.8333333333333334,0.7096774193548387,9,14,16,4,40.0,74.0,63.0,71.0,20.0,0.1428571428571428,0.35,0.0,0.2253521126760563,0.2,22,3.0,64.0,2.909090909090909,8.9,69.00000000000001,3.136363636363637
