Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-201,NYK,MEM,1,12.666666666666666,2.0,3.0,.667,0.0,0.0,,0,1.0,.000,2.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,4.0,3.1,-7,3.0,2.0,0.6666666666666666,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,4.0,75.0,4.411764705882353,3.1,73.30000000000001,4.311764705882354,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-3),L (-3)
2.0,2.0,2022-10-21,24-203,NYK,DET,1,23.416666666666668,3.0,3.0,1.000,0.0,0.0,,2,4.0,.500,4.0,1.0,5.0,1.0,0.0,2.0,2.0,2.0,8.0,8.7,+5,3.0,3.0,1.0,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,7.0,87.0,5.117647058823529,7.9,98.3,5.782352941176471,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+24),W (+24)
3.0,3.0,2022-10-24,24-206,NYK,ORL,1,29.683333333333334,6.0,7.0,.857,0.0,0.0,,2,5.0,.400,5.0,1.0,6.0,0.0,1.0,3.0,0.0,3.0,14.0,16.0,+7,7.0,6.0,0.8571428571428571,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,12.0,80.0,4.705882352941177,15.2,75.00000000000001,4.411764705882354,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+13),W (+13)
4.0,4.0,2022-10-26,24-208,NYK,CHO,1,37.016666666666666,4.0,4.0,1.000,0.0,0.0,,1,2.0,.500,2.0,6.0,8.0,1.0,0.0,6.0,0.0,2.0,9.0,14.7,+8,4.0,4.0,1.0,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,18.0,84.0,4.941176470588236,14.299999999999995,93.29999999999998,5.488235294117646,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+3),W (+3)
5.0,5.0,2022-10-28,24-210,NYK,MIL,1,20.4,2.0,5.0,.400,0.0,0.0,,1,2.0,.500,5.0,4.0,9.0,1.0,0.0,2.0,0.0,5.0,5.0,6.7,-7,5.0,2.0,0.4,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,10.0,65.0,3.823529411764706,6.299999999999999,77.89999999999999,4.58235294117647,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-11),L (-11)
6.0,6.0,2022-10-30,24-212,NYK,CLE,1,20.766666666666666,2.0,6.0,.333,0.0,0.0,,0,0.0,,6.0,1.0,7.0,2.0,1.0,0.0,2.0,5.0,4.0,3.5,-7,6.0,2.0,0.3333333333333333,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,6.0,69.0,4.0588235294117645,3.5000000000000018,77.59999999999998,4.56470588235294,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-13),L (-13)
7.0,7.0,2022-11-02,24-215,NYK,ATL,1,18.433333333333334,4.0,5.0,.800,0.0,0.0,,0,0.0,,3.0,9.0,12.0,2.0,1.0,3.0,1.0,4.0,8.0,12.8,-15,5.0,4.0,0.8,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,20.0,45.0,2.647058823529412,12.8,52.10000000000001,3.064705882352942,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-13),L (-13)
8.0,8.0,2022-11-04,24-217,NYK,PHI,1,11.766666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,-2,0.0,0.0,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,3.0,64.0,3.764705882352941,0.4999999999999998,65.29999999999998,3.841176470588234,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+2),W (+2)
9.0,,2022-11-05,24-218,NYK,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,86.0,5.0588235294117645,0.0,95.79999999999998,5.6352941176470575,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-15),L (-15)
10.0,,2022-11-07,24-220,NYK,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,93.0,5.470588235294118,0.0,95.9,5.641176470588236,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+13),W (+13)
11.0,,2022-11-09,24-222,NYK,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,41.0,2.411764705882353,0.0,45.6,2.682352941176471,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-27),L (-27)
12.0,,2022-11-11,24-224,NYK,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,76.0,4.470588235294118,0.0,94.3,5.547058823529412,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+9),W (+9)
13.0,,2022-11-13,24-226,NYK,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,69.0,4.0588235294117645,0.0,76.10000000000001,4.476470588235294,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-10),L (-10)
14.0,,2022-11-15,24-228,NYK,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,84.0,4.941176470588236,0.0,85.69999999999999,5.041176470588234,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+7),W (+7)
15.0,,2022-11-16,24-229,NYK,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,73.0,4.294117647058823,0.0,82.69999999999999,4.864705882352941,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,W (+3),W (+3)
16.0,,2022-11-18,24-231,NYK,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,57.0,3.3529411764705883,0.0,66.2,3.894117647058824,18.9,6.5,2.4,1.0,1.4,0.0457220937565692,0.652,0.0,0.436,1.7,4.0,L (-10),L (-10)
